affiliation,cited by count,first name,first name (orig),h-index,id,last name,last name (orig),subject areas
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60025272', 'affiliation-id': '60025272', 'affiliation-name': 'University of Tokyo', 'affiliation-city': 'Tokyo', 'affiliation-country': 'Japan'}",13.0,Hisashi,Hisashi,3.0,1,Suzuki,Suzuki,"[{'@abbrev': 'ENGI', '@frequency': '493', '$': 'Engineering (all)'}, {'@abbrev': 'MATE', '@frequency': '462', '$': 'Materials Science (all)'}, {'@abbrev': 'AGRI', '@frequency': '5', '$': 'Agricultural and Biological Sciences (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60008724', 'affiliation-id': '60008724', 'affiliation-name': 'Duke University', 'affiliation-city': 'Durham', 'affiliation-country': 'United States'}",2887.0,David Jones,David,37.0,10,Brady,Brady,"[{'@abbrev': 'PHYS', '@frequency': '420', '$': 'Physics and Astronomy (all)'}, {'@abbrev': 'ENGI', '@frequency': '136', '$': 'Engineering (all)'}, {'@abbrev': 'COMP', '@frequency': '71', '$': 'Computer Science (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60006297', 'affiliation-id': '60006297', 'affiliation-name': 'University of Pennsylvania', 'affiliation-city': 'Philadelphia', 'affiliation-country': 'United States'}",350.0,Santosh S.,Santosh S.,10.0,100,Venkatesh,Venkatesh,"[{'@abbrev': 'COMP', '@frequency': '66', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '37', '$': 'Engineering (all)'}, {'@abbrev': 'MATH', '@frequency': '17', '$': 'Mathematics (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60020304', 'affiliation-id': '60020304', 'affiliation-name': 'University of Maryland', 'affiliation-city': 'College Park', 'affiliation-country': 'United States'}",687.0,Charles L.,Charles,21.0,1000,Fefferman,Fefferman,"[{'@abbrev': 'MATH', '@frequency': '163', '$': 'Mathematics (all)'}, {'@abbrev': 'PHYS', '@frequency': '24', '$': 'Physics and Astronomy (all)'}, {'@abbrev': 'MULT', '@frequency': '12', '$': 'Multidisciplinary'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60093312', 'affiliation-id': '60093312', 'affiliation-name': 'Biolog, Inc.', 'affiliation-city': 'Hayward', 'affiliation-country': 'United States'}",7.0,Scott,Scott,2.0,1001,Markel,Markel,"[{'@abbrev': 'BIOC', '@frequency': '8', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@abbrev': 'COMP', '@frequency': '6', '$': 'Computer Science (all)'}, {'@abbrev': 'MATH', '@frequency': '5', '$': 'Mathematics (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60076072', 'affiliation-id': '60076072', 'affiliation-name': 'Ricoh Innovations, Inc.', 'affiliation-city': 'Menlo Park', 'affiliation-country': 'United States'}",190.0,Gregory J.,Gregory J.,3.0,1002,Wolff,Wolff,"[{'@abbrev': 'COMP', '@frequency': '16', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '7', '$': 'Engineering (all)'}, {'@abbrev': 'SOCI', '@frequency': '2', '$': 'Social Sciences (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60019953', 'affiliation-id': '60019953', 'affiliation-name': 'UCL Institute of Neurology', 'affiliation-city': 'London', 'affiliation-country': 'United Kingdom'}",134.0,Timothy W.,Timothy W.,7.0,1003,Cacciatore,Cacciatore,"[{'@abbrev': 'MEDI', '@frequency': '10', '$': 'Medicine (all)'}, {'@abbrev': 'BIOC', '@frequency': '6', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@abbrev': 'NEUR', '@frequency': '4', '$': 'Neuroscience (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60030162', 'affiliation-id': '60030162', 'affiliation-name': 'Columbia University in the City of New York', 'affiliation-city': 'New York', 'affiliation-country': 'United States'}",2215.0,Paul,Paul,28.0,1004,Sajda,Sajda,"[{'@abbrev': 'COMP', '@frequency': '101', '$': 'Computer Science (all)'}, {'@abbrev': 'NEUR', '@frequency': '67', '$': 'Neuroscience (all)'}, {'@abbrev': 'ENGI', '@frequency': '66', '$': 'Engineering (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60006297', 'affiliation-id': '60006297', 'affiliation-name': 'University of Pennsylvania', 'affiliation-city': 'Philadelphia', 'affiliation-country': 'United States'}",855.0,Leif H.,Leif H.,15.0,1005,Finkel,Finkel,"[{'@abbrev': 'COMP', '@frequency': '35', '$': 'Computer Science (all)'}, {'@abbrev': 'NEUR', '@frequency': '28', '$': 'Neuroscience (all)'}, {'@abbrev': 'ENGI', '@frequency': '15', '$': 'Engineering (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60024941', 'affiliation-id': '60024941', 'affiliation-name': 'University of California, Santa Cruz', 'affiliation-city': 'Santa Cruz', 'affiliation-country': 'United States'}",147.0,Arun K.,Arun K.,7.0,1006,Jagota,Jagota,"[{'@abbrev': 'COMP', '@frequency': '50', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '23', '$': 'Engineering (all)'}, {'@abbrev': 'MATH', '@frequency': '15', '$': 'Mathematics (all)'}]"
