Source,Target
1008,823
1008,7790
819,823
819,7790
823,823
823,7790
820,823
820,7790
1023,964
585,964
1241,217
1241,562
54,217
54,562
1243,590
1243,293
606,590
606,293
1244,590
1244,293
951,178
951,977
265,178
265,977
364,178
364,977
1251,25
1251,18
1252,25
1252,18
1253,25
1253,18
539,859
539,7763
1263,1071
1263,485
562,1071
562,485
1265,53
1266,53
755,1254
1254,1254
457,1331
1275,252
1275,253
640,252
640,253
1281,1343
518,1343
844,1061
844,100
844,670
843,1061
843,100
843,670
1282,1061
1282,100
1282,670
1151,1061
1151,100
1151,670
1283,1061
1283,100
1283,670
1285,178
1285,977
330,178
330,977
1159,53
325,53
908,7840
908,7841
1294,7840
1294,7841
459,7840
459,7841
908,368
908,4
1294,368
1294,4
459,368
459,4
678,7860
679,7860
1196,1196
1103,1196
7013,1196
947,947
947,1155
1309,947
1309,1155
646,947
646,1155
575,947
575,1155
1312,585
1313,585
1312,1312
1312,1313
1313,1312
1313,1313
1322,585
1322,448
1323,585
1323,448
976,178
976,977
1325,303
1325,7106
178,303
178,7106
943,21
943,112
943,114
943,113
943,390
640,21
640,112
640,114
640,113
640,390
326,53
1019,95
1019,1299
1019,590
1019,97
1019,785
1019,1300
1201,95
1201,1299
1201,590
1201,97
1201,785
1201,1300
330,95
330,1299
330,590
330,97
330,785
330,1300
1331,1196
1332,200
1332,454
1332,18
1332,167
1332,168
1332,169
1332,170
1333,200
1333,454
1333,18
1333,167
1333,168
1333,169
1333,170
1342,485
293,485
585,585
1345,585
178,217
178,562
1348,217
1348,562
178,475
178,476
1348,475
1348,476
178,303
178,7106
1348,303
1348,7106
178,562
178,217
178,1050
1348,562
1348,217
1348,1050
1163,465
1163,41
1350,465
1350,41
1351,465
1351,41
305,465
305,41
1171,121
1171,755
1171,7762
1356,121
1356,755
1356,7762
755,121
755,755
755,7762
1357,964
1281,424
1281,425
1281,426
1281,427
518,424
518,425
518,426
518,427
182,101
1362,457
459,457
632,448
754,448
1020,1201
1020,330
330,1201
330,330
1368,1325
1368,178
1066,1325
1066,178
1369,1325
1369,178
21,1325
21,178
1368,1066
1368,21
1066,1066
1066,21
1369,1066
1369,21
21,1066
21,21
1368,583
1066,583
1369,583
21,583
736,736
1381,736
1197,293
1088,293
1403,1403
191,221
89,221
308,308
466,308
1435,308
1080,1079
1080,1080
937,1079
937,1080
1079,1079
1079,1080
172,1079
172,1080
1141,178
1141,977
583,178
583,977
1141,1325
1141,178
583,1325
583,178
754,53
1441,53
248,1430
248,1431
248,1432
947,947
947,1155
1155,947
1155,1155
947,947
947,1309
947,646
947,575
1155,947
1155,1309
1155,646
1155,575
1445,1196
178,1196
1445,7789
178,7789
1059,1387
1059,1103
1059,1388
1449,1387
1449,1103
1449,1388
1037,1037
1037,448
876,590
876,792
485,590
485,792
759,759
1450,1023
1450,585
1450,1159
1450,325
1196,1196
906,1196
202,231
203,231
204,231
281,228
281,7120
1465,228
1465,7120
1342,844
1342,1335
1342,1283
293,844
293,1335
293,1283
876,485
876,876
976,911
976,7784
1253,911
1253,7784
330,178
330,977
1020,178
1020,977
1201,178
1201,977
757,368
1201,1059
1201,457
330,1059
330,457
754,7833
754,7834
632,7833
632,7834
754,754
754,632
632,754
632,632
405,405
405,902
405,1229
1188,1196
1505,1196
182,53
1508,53
1509,475
1509,178
53,53
1517,53
1518,1518
1518,1462
1462,1518
1462,1462
1403,1403
618,618
1525,1525
293,293
293,1529
1529,293
1529,1529
1345,448
1345,585
1532,424
1532,425
1532,426
1532,427
1533,424
1533,425
1533,426
1533,427
54,424
54,425
54,426
54,427
1541,371
1541,1230
1545,1269
1545,330
1546,1269
1546,330
418,1269
418,330
1188,1059
1188,457
1188,1201
1188,330
658,1437
658,1438
562,1437
562,1438
248,1263
248,562
966,1263
966,562
308,308
466,308
1435,308
1410,732
1410,1409
1410,1410
1472,732
1472,1409
1472,1410
1103,368
1103,4
1598,53
1599,53
1600,53
1266,53
1602,754
1602,1019
1602,330
1603,754
1603,1019
1603,330
1426,1426
1426,1427
1426,997
232,232
1530,1530
1629,1450
1630,1450
1602,1450
1403,248
1403,966
1163,465
1163,41
1646,7027
1646,1172
1646,1138
1646,488
1472,303
1472,200
1472,18
303,303
303,200
303,18
1410,303
1410,200
1410,18
732,303
732,200
732,18
1680,1680
1680,1681
1681,1680
1681,1681
7111,7100
7111,27
26,7100
26,27
448,448
46,45
46,46
244,45
244,46
191,757
1707,293
1708,293
1709,293
1710,293
1711,293
1712,293
1713,1521
1713,1522
1713,1507
1551,1521
1551,1522
1551,1507
1507,1521
1507,1522
1507,1507
678,1059
678,457
678,1201
678,330
678,1188
283,200
283,454
283,18
283,167
283,168
283,169
283,170
1004,200
1004,454
1004,18
1004,167
1004,168
1004,169
1004,170
283,67
283,489
283,588
1004,67
1004,489
1004,588
1503,1503
1503,1504
1746,1503
1746,1504
1504,1503
1504,1504
646,1829
1749,1829
1431,1829
1416,252
1416,253
1415,252
1415,253
1766,936
1766,330
1766,121
679,936
679,330
679,121
293,1050
1784,1050
388,1248
632,1248
1788,1201
1788,330
1789,1201
1789,330
679,1201
679,330
1103,530
1103,531
1804,1357
585,1357
1811,1573
1811,326
966,1023
966,343
1498,1023
1498,343
1817,1023
1817,343
966,1322
966,1323
1498,1322
1498,1323
1817,1322
1817,1323
1020,1569
1020,562
1616,1569
1616,562
1819,1387
1819,1103
1819,1388
1820,1387
1820,1103
1820,1388
1484,1484
1822,1484
754,1484
326,539
326,1132
754,539
754,1132
1573,539
1573,1132
1831,539
1831,1132
1568,1485
1568,94
