Cited by,Source,Target
225,26,175
225,26,139
225,139,175
250,119,133
419,195,419
484,119,156
484,42,156
484,156,323
484,42,119
484,119,323
484,42,323
548,395,548
567,270,567
604,498,544
614,154,641
634,530,637
638,447,621
660,330,555
660,330,523
660,523,555
841,585,814
899,394,512
899,506,512
899,512,728
899,394,506
899,394,728
899,506,728
911,608,690
924,95,638
931,637,931
969,461,533
969,533,656
969,461,656
1074,832,984
1089,585,1089
1126,308,621
1126,577,621
1126,621,808
1126,308,577
1126,308,808
1126,577,808
1151,1009,1102
1151,523,1102
1151,523,1009
1215,724,1102
1219,913,1086
1221,641,959
1229,1018,1073
1284,865,1284
1288,765,1000
1317,585,788
1332,879,1283
1394,744,1201
1429,896,938
1504,879,1283
1504,879,1332
1504,1283,1332
1506,293,397
1591,770,1096
1631,1179,1472
1639,1115,1179
1660,767,1508
1681,1202,1594
1707,1466,1574
1708,1328,1597
1722,1480,1520
1785,993,1180
1827,631,1439
1853,814,1672
1853,814,1853
1853,1672,1853
1860,835,1401
1860,1262,1401
1860,835,1262
1863,1115,1179
1877,993,1180
1895,154,400
1895,154,530
1895,95,154
1895,400,530
1895,95,400
1895,95,530
1922,1802,1844
1933,361,1609
1963,1771,1963
1963,1963,2051
1963,1771,2051
1967,1733,1928
1967,1896,1928
1967,1733,1896
2087,1609,1715
2132,1563,1687
2133,1520,2133
2165,879,2082
2183,1896,2092
2203,1672,2058
2203,1131,2058
2203,1131,1672
2219,889,2026
2219,889,1777
2219,1777,2026
2220,1336,2001
2236,1977,2344
2292,1520,2092
2292,1520,2215
2292,2092,2215
2312,835,2207
2350,1579,2055
2355,1985,2109
2360,1610,2164
2384,2030,2320
2388,1992,2092
2388,1830,1992
2388,1830,2092
2394,1461,2207
2405,1520,2405
2407,2001,2135
2428,2092,2215
2461,2092,2141
2496,1967,2092
2510,1332,2141
2512,1609,1967
2531,2023,2146
2531,2023,2269
2531,2146,2269
2538,2092,2407
2564,1907,2227
2585,2214,2512
2601,2499,2601
2604,1262,1750
2604,835,1750
2604,835,1262
2651,2068,2164
2665,2092,2183
2757,2078,2757
2776,2178,2674
2776,2177,2674
2776,2177,2178
2783,1594,2287
2804,2023,2240
2804,2023,2146
2804,2146,2240
2809,1845,2711
2819,2529,2591
2836,2030,2320
2838,2576,2735
2838,656,2735
2838,656,2576
2870,1830,2092
2880,2202,2428
2882,845,2882
2896,2199,2896
2906,2519,2587
2912,2570,2643
2933,1672,2564
2934,5,2223
2945,2290,2577
2949,1128,2646
2961,2943,2961
2968,887,1447
2985,2030,2320
3015,1961,2290
3015,1961,2577
3015,2290,2577
3024,767,2652
3025,1490,1745
3035,2647,3035
3035,1584,2647
3035,656,2647
3035,1584,3035
3035,656,3035
3035,656,1584
3042,1750,2797
3044,2550,2835
3050,1997,2937
3069,1961,2092
3069,2092,2942
3069,1896,2092
3069,2092,2183
3069,1961,2942
3069,1896,1961
3069,1961,2183
3069,1896,2942
3069,2183,2942
3069,1896,2183
3072,2092,2952
3107,3082,3107
3136,2077,2882
3147,2882,2882
3148,1967,2092
3148,2092,2759
3148,1967,2759
3151,2569,2827
3157,2320,2384
3167,2613,2740
3182,1577,2550
3191,2290,2577
3205,2530,3055
3205,1852,3055
3205,2246,3055
3205,1852,2530
3205,2246,2530
3205,1852,2246
3208,2377,2672
3211,2133,2605
3211,2605,2672
3211,2133,2672
3218,616,656
3236,2030,3134
3237,1668,3042
3241,1961,2141
3241,2141,2577
3241,2141,2818
3241,1961,2577
3241,1961,2818
3241,2577,2818
3250,2192,2319
3256,1461,2237
3260,2040,2578
3264,2567,2830
3265,984,2353
3286,3043,3044
3310,2377,2975
3314,656,3314
3327,1945,2758
3351,1532,2240
3351,2240,2903
3351,1532,2903
3387,3075,3158
3387,3158,3248
3387,3075,3248
3393,2350,2768
3395,2768,2862
3399,2042,2652
3405,2648,3268
3440,2092,3307
3446,2947,3126
3450,3268,3327
3468,3141,3369
3477,261,2916
3478,2092,2428
3478,2092,3478
3478,2092,3181
3478,2428,3478
3478,2428,3181
3478,3181,3478
3506,2797,3042
3506,2352,3042
3506,3042,3363
3506,3042,3048
3506,2352,2797
3506,2797,3363
3506,2797,3048
3506,2352,3363
3506,2352,3048
3506,3048,3363
3507,2836,2985
3516,2548,3301
3517,1284,3258
3521,1750,3042
3542,2540,3307
3567,3078,3279
3567,2672,3279
3567,2672,3078
3572,1577,2980
3574,3030,3128
3592,2092,3340
3621,2882,3147
3626,2767,2826
3638,2882,2941
3641,1272,2591
3642,3521,3530
3642,1750,3521
3642,1750,3530
3652,2989,3376
3652,2942,2989
3652,2942,3376
3658,2947,3611
3662,3025,3435
3662,3025,3532
3662,3435,3532
3669,2882,3147
3673,2244,2970
3676,3321,3623
3682,2001,3274
3682,3274,3590
3682,2001,3590
3685,2530,2882
3685,2530,3033
3685,2530,3078
3685,2882,3033
3685,2882,3078
3685,3033,3078
3698,3182,3510
3705,2947,3446
3707,3085,3707
3710,3046,3337
3713,3082,3306
3713,3306,3713
3713,3082,3713
3719,3569,3569
3728,2721,3078
3728,2443,3078
3728,2443,2721
3738,3335,3340
3742,2971,3454
3742,2971,3446
3742,3446,3454
3752,2092,3475
3754,2199,2632
3774,1750,2152
3775,3183,3544
3775,3175,3183
3775,3175,3544
3778,2718,3276
3797,2591,3417
3800,3402,3502
3809,465,1018
3843,2759,3376
3853,2882,3147
3868,3112,3363
3874,2709,3182
3874,2709,3541
3874,3182,3541
3888,3323,3888
3894,3510,3693
3902,3330,3788
3913,2042,2352
3933,3681,3762
3947,1398,3532
3954,3692,3880
3956,1380,3185
3957,1961,2092
3967,2776,3593
3972,3107,3371
3981,1622,3786
3986,3319,3454
3991,2636,2943
3991,2636,3818
3991,2943,3818
4006,3881,3888
4009,2983,3212
4015,3586,3697
4026,1577,3060
4027,1961,2092
4027,1773,1961
4027,1961,3597
4027,1773,2092
4027,2092,3597
4027,1773,3597
4040,1520,3126
4040,3126,3417
4040,1520,3417
4047,767,2670
4049,2772,2882
4064,3212,3633
4065,1750,3530
4095,2774,2998
4105,3680,3715
4105,3598,3680
4105,3598,3715
4116,2755,3107
4122,2540,2942
4132,1668,3312
4136,3790,3872
4145,3481,3586
4147,3541,3874
4150,3372,3664
4151,1745,3630
4154,2092,3813
4158,3715,3968
4159,2947,3044
4159,3044,3307
4159,2947,3307
