,id,topics
0,1,"[(1, 1), (17, 1)]"
1,10,"[(1, 1)]"
2,100,"[(6, 4), (1, 1), (13, 1), (19, 1)]"
3,1000,"[(1, 1), (6, 1)]"
4,1001,"[(1, 1), (6, 1)]"
5,1002,"[(1, 2), (0, 1)]"
6,1003,"[(1, 1), (16, 1)]"
7,1004,"[(3, 2), (7, 1), (1, 1), (5, 1), (0, 1)]"
8,1005,"[(7, 3), (3, 3), (5, 2)]"
9,1006,"[(6, 1)]"
10,1007,"[(6, 1), (13, 1)]"
11,1008,"[(1, 3), (3, 2), (6, 1), (5, 1)]"
12,1009,"[(3, 1)]"
13,101,"[(13, 2), (1, 2), (3, 2), (6, 1)]"
14,1010,"[(3, 1)]"
15,1011,"[(3, 1)]"
16,1012,"[(3, 1)]"
17,1014,"[(3, 1), (13, 1)]"
18,1015,"[(0, 1), (7, 1)]"
19,1016,"[(6, 1), (1, 1), (13, 1)]"
20,1017,"[(6, 1)]"
21,1018,"[(6, 1), (13, 1)]"
22,1019,"[(18, 4), (19, 4), (17, 4), (13, 3), (14, 2), (15, 2), (10, 2), (16, 1), (6, 1)]"
23,102,"[(3, 3), (5, 1)]"
24,1020,"[(14, 26), (16, 13), (13, 8), (15, 7), (18, 6), (1, 3), (17, 3), (0, 3), (3, 2), (5, 2), (6, 1)]"
25,1021,"[(5, 1)]"
26,1022,"[(5, 1)]"
27,1023,"[(1, 1), (13, 1), (16, 1)]"
28,1025,"[(13, 1)]"
29,1026,"[(13, 3), (16, 1), (18, 1)]"
30,1027,[]
31,1028,"[(13, 1), (16, 1)]"
32,1029,"[(3, 1)]"
33,103,"[(13, 1)]"
34,1030,"[(3, 5), (5, 4), (15, 2), (14, 2), (1, 1), (13, 1), (10, 1)]"
35,1031,"[(1, 4), (19, 1), (9, 1)]"
36,1032,"[(7, 1)]"
37,1033,"[(7, 2), (17, 2), (14, 1)]"
38,1034,[]
39,1035,"[(3, 6), (5, 5), (1, 1)]"
40,1036,"[(3, 2), (5, 2)]"
41,1037,"[(14, 3), (13, 2), (3, 2), (6, 1), (16, 1)]"
42,1038,"[(5, 1)]"
43,1039,"[(5, 1)]"
44,104,"[(13, 1)]"
45,1040,"[(1, 1), (3, 1)]"
46,1041,"[(1, 1), (3, 1)]"
47,1042,"[(0, 1), (1, 1)]"
48,1044,"[(1, 1), (13, 1)]"
49,1045,"[(13, 2), (1, 1), (6, 1)]"
50,1046,"[(19, 8), (17, 5), (6, 3), (13, 3), (1, 1), (18, 1), (0, 1), (14, 1)]"
51,1047,"[(16, 2), (10, 2), (6, 1), (0, 1), (17, 1)]"
52,1048,[]
53,1049,[]
54,105,"[(13, 1)]"
55,1050,"[(13, 6), (6, 2), (18, 1)]"
56,1051,"[(5, 1)]"
57,1052,"[(1, 1)]"
58,1053,"[(1, 1)]"
59,1054,"[(1, 2), (13, 1)]"
60,1055,"[(1, 1)]"
61,1056,"[(1, 2), (13, 2)]"
62,1057,"[(13, 2), (1, 1)]"
63,1058,"[(0, 1), (3, 1)]"
64,1059,"[(9, 4), (1, 3), (7, 2), (17, 1), (16, 1), (0, 1)]"
65,106,"[(6, 2), (19, 2), (17, 1), (1, 1)]"
66,1060,"[(6, 1)]"
67,1061,"[(6, 2), (19, 1)]"
68,1063,"[(1, 1), (3, 1), (13, 1), (10, 1)]"
69,1064,"[(10, 3), (6, 2), (0, 1)]"
70,1066,"[(13, 5), (1, 4), (6, 1), (19, 1)]"
71,1067,"[(1, 1), (19, 1)]"
72,1068,"[(1, 1), (6, 1)]"
73,1069,"[(1, 1), (6, 1)]"
74,107,"[(17, 1), (1, 1), (13, 1)]"
75,1070,"[(13, 1)]"
76,1071,"[(6, 2), (1, 1)]"
77,1072,"[(5, 1)]"
78,1073,"[(1, 1)]"
79,1074,"[(14, 3), (5, 2), (3, 1), (10, 1), (15, 1)]"
80,1075,"[(1, 1), (16, 1)]"
81,1076,"[(13, 1)]"
82,1077,"[(13, 1)]"
83,1078,"[(13, 1)]"
84,1079,"[(9, 4), (17, 2), (10, 1), (16, 1)]"
85,108,[]
86,1080,"[(9, 4), (17, 3), (10, 1), (16, 1)]"
87,1081,"[(13, 1), (7, 1), (17, 1)]"
88,1082,"[(5, 1), (7, 1)]"
89,1083,"[(16, 1)]"
90,1085,[]
91,1086,[]
92,1087,"[(0, 2), (1, 1), (3, 1)]"
93,1088,"[(13, 4), (0, 2), (16, 1), (17, 1), (1, 1), (3, 1)]"
94,1089,"[(1, 2), (3, 1)]"
95,109,[]
96,1090,"[(1, 1)]"
97,1091,"[(6, 3), (3, 2), (14, 2), (1, 2), (16, 1), (10, 1)]"
98,1094,"[(1, 1)]"
99,1095,"[(6, 1)]"
100,1096,"[(0, 1), (1, 1)]"
101,1098,"[(1, 2), (17, 2), (6, 2), (16, 1), (0, 1), (10, 1), (13, 1)]"
102,1099,"[(0, 1)]"
103,11,"[(6, 2), (1, 1), (13, 1), (19, 1)]"
104,110,"[(1, 1), (13, 1)]"
105,1100,"[(0, 1)]"
106,1101,"[(6, 1), (3, 1)]"
107,1102,"[(6, 1)]"
108,1103,"[(1, 5), (13, 2)]"
109,1104,"[(1, 1)]"
110,1105,"[(1, 1)]"
111,1106,"[(1, 1)]"
112,1107,"[(1, 1)]"
113,1108,"[(1, 1)]"
114,1109,"[(1, 1)]"
115,111,"[(1, 4), (0, 3), (13, 1)]"
116,1112,"[(16, 1)]"
117,1113,"[(9, 2)]"
118,1114,"[(5, 1)]"
119,1115,"[(5, 1)]"
120,1116,[]
121,1117,[]
122,1118,"[(13, 1)]"
123,1119,"[(13, 1)]"
124,112,"[(13, 5), (1, 2), (6, 1), (7, 1)]"
125,1120,"[(6, 2), (13, 2)]"
126,1122,"[(19, 2), (10, 2), (0, 1)]"
127,1123,"[(1, 1)]"
128,1124,"[(6, 1), (19, 1), (10, 1)]"
129,1125,"[(1, 1), (13, 1)]"
130,1126,"[(1, 1), (13, 1)]"
131,1128,"[(1, 1), (6, 1)]"
132,1129,"[(1, 1), (6, 1)]"
133,113,"[(13, 5), (1, 3), (6, 1), (7, 1)]"
134,1130,"[(1, 1)]"
135,1131,"[(1, 1)]"
136,1132,[]
137,1133,"[(3, 1)]"
138,1134,"[(3, 1)]"
139,1135,[]
140,1136,[]
141,1137,"[(0, 1), (1, 1)]"
142,1138,"[(13, 1), (0, 1)]"
143,1139,"[(0, 1), (1, 1), (13, 1)]"
144,114,"[(13, 4), (1, 2), (6, 1), (7, 1)]"
145,1140,[]
146,1141,"[(6, 3), (13, 3), (1, 3), (14, 2), (10, 1)]"
147,1142,"[(6, 1), (19, 1)]"
148,1143,"[(17, 7), (19, 2), (6, 1)]"
149,1144,"[(3, 2), (6, 1), (14, 1)]"
150,1145,"[(6, 1)]"
151,1146,"[(3, 2), (1, 1)]"
152,1147,[]
153,1148,[]
154,1149,"[(1, 4), (16, 2), (6, 1)]"
155,115,"[(13, 1), (1, 1)]"
156,1150,"[(0, 1), (1, 1)]"
157,1151,"[(13, 2), (0, 1), (1, 1), (6, 1)]"
158,1152,"[(3, 5), (5, 3), (1, 1)]"
159,1153,"[(1, 1), (9, 1)]"
160,1154,"[(1, 1), (9, 1)]"
161,1155,"[(13, 2), (19, 2), (1, 1), (6, 1)]"
162,1158,"[(13, 1)]"
163,1159,"[(13, 1)]"
164,116,"[(1, 1), (3, 1)]"
165,1160,"[(1, 3), (6, 2), (0, 1)]"
166,1161,"[(1, 1)]"
