,id,topics
0,1,"[(14, 0.41150660984550541)]"
1,10,"[(17, 0.76505059906000894)]"
2,100,"[(17, 0.81228009198772211)]"
3,1000,"[(2, 0.34279232977210994), (6, 0.2032518958559851), (19, 0.2297054188113834)]"
4,1001,"[(13, 0.24255166963482871), (14, 0.500568145965266)]"
5,1002,"[(14, 0.32341946936363436), (18, 0.25646485637945604)]"
6,1003,"[(13, 0.39650236247038534), (14, 0.24482354333532236)]"
7,1004,"[(14, 0.43909805074571157), (17, 0.39193677226900869)]"
8,1005,"[(7, 0.45590232488371341), (13, 0.21891214831965344)]"
9,1006,"[(7, 0.34027012761313086), (17, 0.3571797465089902)]"
10,1007,"[(8, 0.41938526517600322), (12, 0.49785745037195467)]"
11,1008,"[(5, 0.52200660648011832), (12, 0.24774233308571203)]"
12,1009,"[(14, 0.79906007902734166)]"
13,101,"[(14, 0.48320026870273236)]"
14,1010,"[(7, 0.70261904538633524), (17, 0.22040432259201787)]"
15,1011,"[(19, 0.55289976884342662)]"
16,1012,"[(14, 0.33046287438766375), (16, 0.63700085642969106)]"
17,1013,"[(17, 0.83797934767030191)]"
18,1014,"[(13, 0.31767589021520432), (17, 0.6655137505839035)]"
19,1015,"[(8, 0.59453770538729911), (14, 0.38950534278322479)]"
20,1016,"[(7, 0.21513622439602106), (8, 0.26982618703219591), (14, 0.37433148839423347)]"
21,1017,"[(7, 0.22322783922796688), (17, 0.63712581505567556)]"
22,1018,"[(6, 0.65021531651115294), (19, 0.28387962479403811)]"
23,1019,"[(8, 0.31229368453186573), (19, 0.34385532153152792)]"
24,102,"[(2, 0.33158488815865544), (13, 0.3691051599090357)]"
25,1020,"[(7, 0.4075712771938933), (17, 0.41139333793183908)]"
26,1021,"[(13, 0.52670490411331494), (14, 0.4533921753701507)]"
27,1022,"[(2, 0.27315580865962125)]"
28,1023,"[(7, 0.20706192644505902), (17, 0.45268267041190491)]"
29,1024,"[(7, 0.23317617281745859), (17, 0.46709480900519706)]"
30,1025,"[(17, 0.89020679135203107)]"
31,1026,"[(17, 0.6868160861323066)]"
32,1027,"[(14, 0.69262663154377702)]"
33,1028,"[(1, 0.50089376851710532), (13, 0.36971580007106347)]"
34,1029,"[(14, 0.25756745085766675), (19, 0.71200834066058583)]"
35,103,"[(14, 0.73859681116590836)]"
36,1030,"[(17, 0.76415016450513884)]"
37,1031,"[(12, 0.29503928450546357), (14, 0.2169651775213442), (17, 0.40486208185935885)]"
38,1032,"[(17, 0.83447321953018139)]"
39,1033,"[(13, 0.22165094047779102), (16, 0.33265439912260614), (19, 0.22696783429496303)]"
40,1034,"[(8, 0.42123569171760195), (16, 0.31195663782894018)]"
41,1035,"[(17, 0.79974039079391035)]"
42,1036,"[(11, 0.20108815258134294), (19, 0.51034056093726177)]"
43,1037,"[(12, 0.32950725944374742), (13, 0.34795407222938551)]"
44,1038,"[(6, 0.77434037183276994)]"
45,1039,"[(14, 0.84300543473206668)]"
46,104,"[(14, 0.42972157226028435), (16, 0.27973671372692688)]"
47,1040,"[(2, 0.39293002199457472)]"
48,1041,"[(16, 0.41389151225286258), (17, 0.20199200603183023)]"
49,1042,"[(6, 0.38682450168212557)]"
50,1043,"[(19, 0.32474645218359643)]"
51,1044,"[(14, 0.20873131259623798)]"
52,1045,"[(18, 0.60589758440981312)]"
53,1046,"[(16, 0.25846233049238299), (17, 0.5714650046112747)]"
54,1047,"[(14, 0.35265336550748472), (17, 0.27375469678450431), (18, 0.25759663418170148)]"
55,1048,"[(19, 0.82108218131972988)]"
56,1049,"[(12, 0.47691725235463733), (13, 0.40139341061486211)]"
57,105,"[(14, 0.39817816032833997), (18, 0.24419229468084896)]"
58,1050,"[(8, 0.28017186789527815), (16, 0.415069137952017)]"
59,1051,"[(1, 0.38927716992155936), (13, 0.43650637400612374)]"
60,1052,"[(2, 0.3273914405879873)]"
61,1053,"[(17, 0.65798042301736481)]"
62,1054,"[(1, 0.305465698106059), (6, 0.39431690788445251), (13, 0.20587301395491445)]"
63,1055,"[(17, 0.9225545646769816)]"
64,1056,"[(14, 0.88076522519197431)]"
65,1057,"[(13, 0.75581425787724987)]"
66,1058,"[(19, 0.58767276860338913)]"
67,1059,"[(14, 0.4308229202876116), (19, 0.24809506974541728)]"
68,106,"[(8, 0.28377999370994661), (14, 0.45123953361840535)]"
69,1060,"[(13, 0.3929233902338124), (14, 0.25793067963507538)]"
70,1061,"[(6, 0.33196190936646863), (10, 0.32734199881174864)]"
71,1062,"[(13, 0.43308562524926475), (17, 0.20042257470532523)]"
72,1063,"[(7, 0.50738294669031858), (19, 0.25269821903609763)]"
73,1064,"[(1, 0.25519747837283158), (16, 0.41853283865986451)]"
74,1065,"[(1, 0.60697022842935222)]"
75,1066,"[(10, 0.40951544505583293), (13, 0.2537392330372692)]"
76,1067,"[(12, 0.24490229348592896), (14, 0.70032918463783056)]"
77,1068,"[(17, 0.54358462834140275)]"
78,1069,"[(2, 0.20233275701779457), (17, 0.76209567325098715)]"
79,107,"[(14, 0.45146863852987357), (18, 0.44444553173869267)]"
80,1070,"[(1, 0.38060581284183087), (8, 0.28271135154379567)]"
81,1071,"[(17, 0.70750292607834897)]"
82,1072,"[(12, 0.46587467886308115), (13, 0.27992962658969056)]"
83,1073,"[(0, 0.26576795097542322), (6, 0.25480590329276526)]"
84,1074,"[(14, 0.2665682783397918), (18, 0.39644405002094074)]"
85,1075,"[(8, 0.24206862155672978), (14, 0.33784125697561512)]"
86,1076,"[(1, 0.46477097498603803), (14, 0.27492924493610987)]"
87,1077,"[(8, 0.41557101781225458), (17, 0.30138998653299742)]"
88,1078,"[(17, 0.78959149811870821)]"
89,1079,"[(8, 0.23507221340176687), (18, 0.2594592215548342)]"
90,108,"[(2, 0.60729930136178312)]"
91,1080,"[(2, 0.59576933548379374)]"
92,1081,"[(8, 0.73134027991316219)]"
93,1082,"[(11, 0.43502382774291948), (14, 0.29842122836322127)]"
94,1083,"[(7, 0.23581928191797827), (13, 0.23006233380533142), (17, 0.51903954715691636)]"
95,1084,"[(14, 0.25006072773944477), (16, 0.26340525740338716), (18, 0.22556234376963719)]"
96,1085,"[(3, 0.48582722740636691), (15, 0.24613191793148381)]"
97,1086,"[(1, 0.54690882263138263), (13, 0.27848124877625241)]"
98,1087,"[(0, 0.52388370703913245), (17, 0.29734229829884357)]"
99,1088,"[(2, 0.2067799407872265), (14, 0.41138503785737157)]"
100,1089,"[(8, 0.37782316256863685), (16, 0.44570725444106707)]"
101,109,"[(14, 0.81918184367877189)]"
102,1090,"[(3, 0.69851121697152763)]"
103,1091,"[(0, 0.52720481647334838)]"
104,1092,"[(12, 0.64534465815549835), (15, 0.22300227648680176)]"
105,1094,"[(17, 0.70991404015170712)]"
106,1095,"[(1, 0.58260956757663596)]"
107,1096,"[(12, 0.80362871691035009)]"
108,1097,"[(8, 0.2131036504803899), (14, 0.63999819841302474)]"
109,1098,"[(19, 0.39187606916550893)]"
110,1099,"[(3, 0.52941617499136351), (14, 0.37053480342486805)]"
111,11,"[(14, 0.39412127006567732), (17, 0.45413540420859105)]"
112,110,"[(17, 0.65268611242334518)]"
113,1100,"[(10, 0.23724014423646658), (14, 0.40567506107300227)]"
114,1101,"[(14, 0.71625631314151295)]"
115,1102,"[(14, 0.67382205284131325)]"
116,1103,"[(12, 0.34188592724122563), (16, 0.2025481025664771), (17, 0.31293804034513006)]"
117,1104,"[(0, 0.24477176871685649), (14, 0.54171855843322114)]"
118,1105,"[(17, 0.98329610029965464)]"
119,1106,"[(14, 0.78631497028794983)]"
120,1107,"[(9, 0.31547694790889352), (14, 0.52329934141152035)]"
121,1108,"[(1, 0.49703391128231578)]"
122,1109,"[(6, 0.31520824536904213), (19, 0.39033824092529057)]"
123,111,"[(13, 0.67546265652000448)]"
124,1111,"[(19, 0.41398126725640066)]"
125,1112,"[(1, 0.37427601100427943), (8, 0.20161266037571732), (14, 0.28074744856630074)]"
