,topicname,keywords,occurence,occurence_yearly
0,topic 0,"[('network', 0.01821210089236867), ('model', 0.010434290811439062), ('train', 0.0098699025751939513), ('neural', 0.0067212432082213299), ('input', 0.0059979840939968351), ('unit', 0.00561192490352722), ('system', 0.0054514024955899312), ('featur', 0.005437545845153012), ('error', 0.0049923832419892936), ('perform', 0.0048219433390118078), ('layer', 0.0047231230421074634), ('task', 0.004688431473912018), ('result', 0.0046337741790866936), ('output', 0.0046224025578307671), ('weight', 0.0045054021817364336)]",978,"[[1987, 26], [1988, 47], [1989, 57], [1990, 80], [1991, 74], [1992, 63], [1993, 82], [1994, 69], [1995, 69], [1996, 48], [1997, 39], [1998, 24], [1999, 24], [2000, 26], [2001, 31], [2002, 28], [2003, 22], [2004, 20], [2005, 12], [2006, 15], [2007, 10], [2008, 14], [2009, 11], [2010, 12], [2011, 6], [2012, 13], [2013, 6], [2014, 8], [2015, 15], [2016, 27]]"
1,topic 1,"[('model', 0.011337000598869988), ('network', 0.010928469149285861), ('neuron', 0.0099909434711772504), ('input', 0.0083893787070838301), ('neural', 0.0077178005424283483), ('time', 0.0068426099172270351), ('figur', 0.0057981581511719572), ('function', 0.0055643579716337637), ('system', 0.0052815450857609993), ('activ', 0.0052605444476407108), ('unit', 0.005232049041306479), ('cell', 0.0046478709762928574), ('comput', 0.0046402833269020647), ('output', 0.0045855634871559917), ('weight', 0.0041606441468762835)]",1457,"[[1987, 78], [1988, 62], [1989, 65], [1990, 74], [1991, 58], [1992, 57], [1993, 67], [1994, 58], [1995, 65], [1996, 58], [1997, 69], [1998, 57], [1999, 50], [2000, 47], [2001, 55], [2002, 56], [2003, 42], [2004, 43], [2005, 57], [2006, 28], [2007, 35], [2008, 42], [2009, 29], [2010, 35], [2011, 29], [2012, 31], [2013, 32], [2014, 32], [2015, 13], [2016, 33]]"
2,topic 2,"[('model', 0.021256197660262682), ('function', 0.0067707996959049362), ('point', 0.0054577929210502321), ('latent', 0.0046984696933424766), ('figur', 0.0046822663600794498), ('distribut', 0.0046542901482342289), ('algorithm', 0.0044371530292444481), ('predict', 0.0043967460576130359), ('method', 0.0039964294821737082), ('comput', 0.0039632049476727793), ('imag', 0.0038660878808007902), ('mean', 0.0038508767450347045), ('observ', 0.0038219799450296935), ('cluster', 0.0037847071542190846), ('process', 0.0037802240150548142)]",669,"[[1987, 0], [1988, 0], [1989, 1], [1990, 5], [1991, 7], [1992, 2], [1993, 8], [1994, 7], [1995, 10], [1996, 8], [1997, 8], [1998, 17], [1999, 7], [2000, 16], [2001, 13], [2002, 26], [2003, 30], [2004, 24], [2005, 34], [2006, 44], [2007, 40], [2008, 40], [2009, 37], [2010, 42], [2011, 41], [2012, 48], [2013, 36], [2014, 37], [2015, 36], [2016, 45]]"
3,topic 3,"[('model', 0.0090059573806406199), ('function', 0.0072616539145373494), ('algorithm', 0.0064939262989311608), ('distribut', 0.0051987654806169344), ('sampl', 0.0045845561363827515), ('matrix', 0.004568187848040999), ('comput', 0.0045570647137302064), ('variabl', 0.0045185683913098497), ('problem', 0.0044510873554262104), ('method', 0.004445682134010441), ('time', 0.004239679512993204), ('given', 0.0041520560555531926), ('kernel', 0.0040528731513939792), ('gaussian', 0.0039427648138383922), ('result', 0.0037975554070129058)]",761,"[[1987, 1], [1988, 1], [1989, 2], [1990, 3], [1991, 3], [1992, 1], [1993, 3], [1994, 3], [1995, 10], [1996, 8], [1997, 14], [1998, 12], [1999, 17], [2000, 16], [2001, 22], [2002, 39], [2003, 27], [2004, 25], [2005, 30], [2006, 26], [2007, 26], [2008, 39], [2009, 40], [2010, 37], [2011, 40], [2012, 78], [2013, 68], [2014, 60], [2015, 43], [2016, 67]]"
4,topic 4,"[('state', 0.012717250381532869), ('algorithm', 0.01003309385280389), ('function', 0.0075792077377537254), ('polici', 0.0074336542375431757), ('model', 0.0068388081653136777), ('optim', 0.0067038902373729985), ('action', 0.0066503589738623244), ('time', 0.0066415318715349111), ('valu', 0.0060768608714551536), ('problem', 0.0051829308042274187), ('reward', 0.0049179154936371747), ('bound', 0.0045154587666648063), ('comput', 0.0043863665546898644), ('sampl', 0.0042637468155231192), ('number', 0.0039251985055594324)]",1053,"[[1987, 9], [1988, 5], [1989, 10], [1990, 16], [1991, 14], [1992, 13], [1993, 25], [1994, 13], [1995, 25], [1996, 26], [1997, 25], [1998, 26], [1999, 23], [2000, 19], [2001, 43], [2002, 35], [2003, 38], [2004, 35], [2005, 28], [2006, 29], [2007, 43], [2008, 39], [2009, 34], [2010, 48], [2011, 58], [2012, 56], [2013, 71], [2014, 68], [2015, 77], [2016, 102]]"
5,topic 5,"[('estim', 0.010583915147745596), ('function', 0.0090115475575971923), ('sampl', 0.0061982683791659901), ('method', 0.0061190757872022616), ('model', 0.00567233959827279), ('algorithm', 0.0055685516040436707), ('problem', 0.0051314653091978678), ('error', 0.0049541236661406586), ('result', 0.0049534770662169915), ('comput', 0.0048261390909925929), ('statist', 0.0047786492471011844), ('distribut', 0.0047315650498382811), ('linear', 0.0040103878029537849), ('matrix', 0.0039793040113989611), ('bound', 0.0038983091463700853)]",1266,"[[1987, 1], [1988, 3], [1989, 6], [1990, 14], [1991, 19], [1992, 11], [1993, 13], [1994, 14], [1995, 22], [1996, 33], [1997, 31], [1998, 34], [1999, 37], [2000, 43], [2001, 38], [2002, 37], [2003, 41], [2004, 40], [2005, 48], [2006, 41], [2007, 34], [2008, 53], [2009, 53], [2010, 66], [2011, 67], [2012, 87], [2013, 88], [2014, 95], [2015, 98], [2016, 99]]"
6,topic 6,"[('algorithm', 0.014245943882313266), ('optim', 0.0073983446474593191), ('problem', 0.0072303151449072548), ('bound', 0.0069959706925624377), ('function', 0.0064963320155913325), ('result', 0.0053733859194313414), ('matrix', 0.0051160087485635237), ('method', 0.0050566571221971049), ('distribut', 0.0045819968975991891), ('theorem', 0.0044615123374555062), ('comput', 0.0043372828305520651), ('sampl', 0.0042013794245954316), ('follow', 0.0039455262330760381), ('model', 0.0038734900734414246), ('approxim', 0.0037946769446997584)]",1902,"[[1987, 3], [1988, 2], [1989, 3], [1990, 3], [1991, 4], [1992, 4], [1993, 3], [1994, 4], [1995, 6], [1996, 12], [1997, 11], [1998, 15], [1999, 17], [2000, 20], [2001, 41], [2002, 43], [2003, 57], [2004, 72], [2005, 63], [2006, 73], [2007, 81], [2008, 82], [2009, 98], [2010, 112], [2011, 129], [2012, 137], [2013, 158], [2014, 187], [2015, 200], [2016, 262]]"
7,topic 7,"[('imag', 0.022959881495876959), ('object', 0.0081962157824131548), ('train', 0.0073321501635635212), ('model', 0.0071995540825079366), ('comput', 0.0060376087857703341), ('featur', 0.0051863745311544673), ('algorithm', 0.0044975011045093093), ('method', 0.0044136705575164598), ('differ', 0.0042292863000538512), ('result', 0.0042053074313627451), ('perform', 0.0041049881443898954), ('network', 0.0040884134718726286), ('figur', 0.0037105258232592742), ('estim', 0.0036779692820679468), ('time', 0.003533656253360583)]",769,"[[1987, 5], [1988, 5], [1989, 8], [1990, 6], [1991, 10], [1992, 6], [1993, 13], [1994, 9], [1995, 13], [1996, 14], [1997, 18], [1998, 21], [1999, 17], [2000, 24], [2001, 20], [2002, 27], [2003, 26], [2004, 39], [2005, 31], [2006, 33], [2007, 20], [2008, 24], [2009, 35], [2010, 40], [2011, 46], [2012, 42], [2013, 35], [2014, 56], [2015, 40], [2016, 86]]"
8,topic 8,"[('model', 0.016916899725408909), ('network', 0.010520410379894157), ('train', 0.0086306799102313942), ('method', 0.0058688326118590158), ('layer', 0.0058391983541533892), ('distribut', 0.0055355312129554387), ('paramet', 0.0053107032826996484), ('function', 0.0053100187296900589), ('comput', 0.0052806607494247076), ('neural', 0.0050480069419498461), ('sampl', 0.0049241615945458204), ('featur', 0.0045013709297845065), ('estim', 0.004488364436518213), ('number', 0.0040200332797992611), ('algorithm', 0.0039945386812475763)]",1241,"[[1987, 2], [1988, 10], [1989, 12], [1990, 12], [1991, 14], [1992, 11], [1993, 11], [1994, 14], [1995, 33], [1996, 37], [1997, 36], [1998, 33], [1999, 41], [2000, 43], [2001, 48], [2002, 47], [2003, 39], [2004, 36], [2005, 29], [2006, 35], [2007, 44], [2008, 49], [2009, 61], [2010, 52], [2011, 44], [2012, 65], [2013, 71], [2014, 84], [2015, 99], [2016, 129]]"
9,topic 9,"[('model', 0.0072193126594043231), ('algorithm', 0.005417748600036942), ('comput', 0.0051605927941580946), ('train', 0.0049691518701846177), ('function', 0.0045915917875530591), ('network', 0.0043732929594722091), ('cluster', 0.0040630714761708065), ('result', 0.0038329017184803023), ('imag', 0.0038232339355109071), ('featur', 0.0038134518134635927), ('word', 0.0034678609370617079), ('time', 0.0034174505205465163), ('perform', 0.003328763407981493), ('two', 0.0033228152402469879), ('number', 0.0031963208711897721)]",391,"[[1987, 2], [1988, 1], [1989, 3], [1990, 16], [1991, 13], [1992, 9], [1993, 17], [1994, 5], [1995, 7], [1996, 7], [1997, 10], [1998, 6], [1999, 3], [2000, 4], [2001, 8], [2002, 9], [2003, 5], [2004, 7], [2005, 12], [2006, 8], [2007, 20], [2008, 23], [2009, 20], [2010, 21], [2011, 33], [2012, 21], [2013, 16], [2014, 16], [2015, 27], [2016, 42]]"
