,id,topicname,keywords,occurence,occurence_yearly
0,0,Brain-Computer-Interfaces,"['Spatial Filters', 'Brain Connectivity', 'EEG-based BCI', 'Neuroimaging Data', 'Alzheimer's Disease']",494,"[[1987, 1], [1988, 6], [1989, 9], [1990, 15], [1991, 10], [1992, 10], [1993, 9], [1994, 12], [1995, 6], [1996, 5], [1997, 11], [1998, 3], [1999, 6], [2000, 16], [2001, 19], [2002, 24], [2003, 21], [2004, 25], [2005, 12], [2006, 24], [2007, 26], [2008, 20], [2009, 25], [2010, 26], [2011, 20], [2012, 18], [2013, 18], [2014, 31], [2015, 26], [2016, 40]]"
1,1,Boosting,"['Agnostic Boosting', 'Deep Boosting', 'learning', 'Algorithms', 'Classification', 'Risk Minimization']",788,"[[1987, 45], [1988, 51], [1989, 56], [1990, 60], [1991, 59], [1992, 45], [1993, 54], [1994, 46], [1995, 40], [1996, 23], [1997, 21], [1998, 20], [1999, 8], [2000, 10], [2001, 13], [2002, 6], [2003, 5], [2004, 6], [2005, 9], [2006, 8], [2007, 7], [2008, 5], [2009, 6], [2010, 8], [2011, 5], [2012, 13], [2013, 12], [2014, 23], [2015, 47], [2016, 77]]"
3,3,Probabilistic Methods,"['Bayesian Model', 'Dirichlet process', 'Mixture Models', 'Variational']",658,"[[1987, 24], [1988, 21], [1989, 18], [1990, 22], [1991, 25], [1992, 22], [1993, 23], [1994, 19], [1995, 30], [1996, 25], [1997, 35], [1998, 20], [1999, 22], [2000, 21], [2001, 30], [2002, 29], [2003, 24], [2004, 21], [2005, 26], [2006, 15], [2007, 18], [2008, 26], [2009, 19], [2010, 22], [2011, 17], [2012, 21], [2013, 17], [2014, 17], [2015, 10], [2016, 19]]"
5,5,Metric Learning,"['Nearest Neighbor Classification', 'Distance Metric', 'Clustering', 'Large Margin', 'Discriminant Analysis']",352,"[[1987, 4], [1988, 11], [1989, 8], [1990, 11], [1991, 13], [1992, 7], [1993, 12], [1994, 11], [1995, 14], [1996, 15], [1997, 16], [1998, 20], [1999, 17], [2000, 16], [2001, 11], [2002, 18], [2003, 24], [2004, 14], [2005, 20], [2006, 11], [2007, 10], [2008, 12], [2009, 13], [2010, 8], [2011, 5], [2012, 4], [2013, 6], [2014, 8], [2015, 5], [2016, 8]]"
6,6,Bandit Problems,"['Apprenticeship Learning', 'Reinforcement Learning', 'Markov Decision Processes', 'Submodular Functions']",448,"[[1987, 13], [1988, 6], [1989, 17], [1990, 23], [1991, 22], [1992, 28], [1993, 33], [1994, 29], [1995, 34], [1996, 31], [1997, 25], [1998, 20], [1999, 25], [2000, 26], [2001, 24], [2002, 22], [2003, 8], [2004, 10], [2005, 11], [2006, 4], [2007, 4], [2008, 1], [2009, 0], [2010, 3], [2011, 2], [2012, 6], [2013, 4], [2014, 2], [2015, 4], [2016, 11]]"
7,7,Motor Control,"['Sensorimotor', 'Human', 'Forward dynamic models', 'Speech', 'perception']",133,"[[1987, 2], [1988, 3], [1989, 4], [1990, 9], [1991, 6], [1992, 6], [1993, 10], [1994, 4], [1995, 5], [1996, 2], [1997, 3], [1998, 3], [1999, 4], [2000, 0], [2001, 1], [2002, 3], [2003, 5], [2004, 9], [2005, 7], [2006, 3], [2007, 3], [2008, 5], [2009, 3], [2010, 4], [2011, 1], [2012, 6], [2013, 3], [2014, 3], [2015, 5], [2016, 11]]"
9,9,Visual Applications,"['Latent Model', 'Image', 'Topic Models', 'Object Segmentation']",341,"[[1987, 1], [1988, 1], [1989, 1], [1990, 4], [1991, 4], [1992, 2], [1993, 4], [1994, 5], [1995, 5], [1996, 2], [1997, 7], [1998, 2], [1999, 1], [2000, 10], [2001, 4], [2002, 9], [2003, 9], [2004, 13], [2005, 14], [2006, 16], [2007, 9], [2008, 10], [2009, 19], [2010, 24], [2011, 22], [2012, 29], [2013, 16], [2014, 27], [2015, 21], [2016, 50]]"
10,10,Components Analysis and Sparsity,"['Matrices', 'Orthogonal', 'Large Scale Distributed Sparse', ]",699,"[[1987, 4], [1988, 3], [1989, 1], [1990, 0], [1991, 1], [1992, 0], [1993, 2], [1994, 2], [1995, 1], [1996, 6], [1997, 1], [1998, 1], [1999, 3], [2000, 6], [2001, 10], [2002, 6], [2003, 12], [2004, 19], [2005, 14], [2006, 16], [2007, 19], [2008, 22], [2009, 37], [2010, 44], [2011, 49], [2012, 57], [2013, 74], [2014, 93], [2015, 84], [2016, 112]]"
13,13,Neural Networks,"['Temporal Coding', 'Spiking Neurons', 'optimal balanced networks', 'Dynamics', 'population']",676,"[[1987, 21], [1988, 29], [1989, 33], [1990, 43], [1991, 45], [1992, 33], [1993, 44], [1994, 42], [1995, 51], [1996, 59], [1997, 38], [1998, 26], [1999, 34], [2000, 28], [2001, 30], [2002, 18], [2003, 8], [2004, 6], [2005, 3], [2006, 8], [2007, 3], [2008, 10], [2009, 11], [2010, 4], [2011, 10], [2012, 4], [2013, 7], [2014, 8], [2015, 12], [2016, 8]]"
14,14,Speech and Letter Recognition,"['Radial Basis Function Networks', 'Recurrent Networks', 'Performance', 'Time Delay', 'Modeling Consistency', 'Phonetic Modeling']",916,"[[1987, 0], [1988, 1], [1989, 0], [1990, 2], [1991, 2], [1992, 1], [1993, 3], [1994, 2], [1995, 10], [1996, 13], [1997, 20], [1998, 28], [1999, 25], [2000, 22], [2001, 26], [2002, 31], [2003, 32], [2004, 24], [2005, 37], [2006, 43], [2007, 43], [2008, 48], [2009, 37], [2010, 43], [2011, 53], [2012, 75], [2013, 68], [2014, 65], [2015, 70], [2016, 92]]"
15,15,Lifted Inference Models,"['MAP Inference', 'First-Order', 'Probabilistic Inference', 'Bounded Treewidth Bayesian Networks']",359,"[[1987, 0], [1988, 3], [1989, 1], [1990, 3], [1991, 4], [1992, 7], [1993, 4], [1994, 2], [1995, 6], [1996, 3], [1997, 4], [1998, 4], [1999, 5], [2000, 7], [2001, 13], [2002, 15], [2003, 7], [2004, 14], [2005, 13], [2006, 15], [2007, 14], [2008, 27], [2009, 25], [2010, 23], [2011, 21], [2012, 30], [2013, 27], [2014, 20], [2015, 21], [2016, 21]]"
16,16,Dimensionality Reduction and Manifold Learning,"['Manifold Parzen', 'Nearest Neighbor', 'Hashing']",380,"[[1987, 0], [1988, 2], [1989, 1], [1990, 0], [1991, 0], [1992, 2], [1993, 5], [1994, 5], [1995, 7], [1996, 10], [1997, 7], [1998, 16], [1999, 14], [2000, 15], [2001, 18], [2002, 16], [2003, 13], [2004, 15], [2005, 5], [2006, 6], [2007, 16], [2008, 14], [2009, 19], [2010, 14], [2011, 15], [2012, 27], [2013, 27], [2014, 32], [2015, 34], [2016, 25]]"
17,17,Motion and Tracking,"['Retina', 'Silicon', 'VLSI', 'Visual Tracking', 'Inhibition']",956,"[[1987, 2], [1988, 2], [1989, 1], [1990, 3], [1991, 3], [1992, 1], [1993, 1], [1994, 2], [1995, 4], [1996, 5], [1997, 7], [1998, 8], [1999, 6], [2000, 12], [2001, 24], [2002, 30], [2003, 39], [2004, 39], [2005, 41], [2006, 49], [2007, 46], [2008, 55], [2009, 59], [2010, 65], [2011, 61], [2012, 72], [2013, 63], [2014, 81], [2015, 79], [2016, 96]]"
18,18,Deep Learning,"['Convolutional Networks', 'Video Action Recognition', 'neural networks', '3D Data', 'CNN', 'Image', 'Large Scale']",405,"[[1987, 0], [1988, 0], [1989, 0], [1990, 1], [1991, 1], [1992, 1], [1993, 0], [1994, 0], [1995, 3], [1996, 3], [1997, 4], [1998, 6], [1999, 7], [2000, 9], [2001, 9], [2002, 6], [2003, 11], [2004, 9], [2005, 17], [2006, 11], [2007, 14], [2008, 16], [2009, 16], [2010, 17], [2011, 21], [2012, 30], [2013, 44], [2014, 43], [2015, 51], [2016, 55]]"
19,19,Gaussian Processes,"['Diffusion Processes', 'Approximate Inference', 'Nonlinear State', 'Monte Carlo', 'Bayesian Inference', 'MCMC', 'Sparse Gaussian Processes']",891,"[[1987, 0], [1988, 1], [1989, 1], [1990, 5], [1991, 9], [1992, 5], [1993, 3], [1994, 9], [1995, 10], [1996, 10], [1997, 12], [1998, 13], [1999, 20], [2000, 20], [2001, 24], [2002, 24], [2003, 24], [2004, 36], [2005, 31], [2006, 31], [2007, 33], [2008, 43], [2009, 41], [2010, 49], [2011, 49], [2012, 56], [2013, 65], [2014, 69], [2015, 86], [2016, 112]]"
