id,PageRankScore,T0PRScore,T1PRScore,T3PRScore,T5PRScore,T6PRScore,T7PRScore,T9PRScore,T10PRScore,T13PRScore,T14PRScore,T15PRScore,T16PRScore,T17PRScore,T18PRScore,T19PRScore,PageRankRank,T0PRRank,T1PRRank,T3PRRank,T5PRRank,T6PRRank,T7PRRank,T9PRRank,T10PRRank,T13PRRank,T14PRRank,T15PRRank,T16PRRank,T17PRRank,T18PRRank,T19PRRank
330,0.0021099574254330763,9.440659471066516e-05,0.001968301930788179,0.0034471928427103117,0.0013704629480774933,0.002412863090627974,0.001110091143777444,0.0015317549046934313,0.001271052654451496,7.56655680790344e-05,0.00036360667376673884,0.0022522762173437624,0.0006298592481218516,0.00041931036248497785,0.0004314453033133231,0.00205136069164461,1,2277,6,1,6,1,24,8,7,5775,746,1,81,614,279,5
178,0.001954057434866006,9.440659471066516e-05,0.0005072459248428099,0.0016435176961940095,8.977483942455356e-05,0.00035878866371425074,7.540575820653681e-05,0.0005629329838150474,0.001210001700762374,0.0008425810792996245,0.0031313875917019338,7.262156609649681e-05,0.0017945964319702856,0.0007348850591054277,0.0027859806884574,0.0024882246653719544,2,6887,226,8,667,817,6315,175,8,56,2,6979,2,67,2,2
1472,0.0017139435486085706,0.0010847762582421228,0.0023790412336770718,0.0016657771194693316,0.0006694413301829942,5.504313711100556e-05,0.0013223710119200731,0.0013926821801941098,0.0011351630424987875,0.0004802183878055728,0.0004475030614803902,0.0006243355369130276,0.001688538969279771,0.0005714287701806765,0.001056849243484086,0.0003957067828318931,3,9,2,7,58,5987,16,15,11,316,644,122,3,148,27,661
3001,0.001380733115424205,0.0005786691969992376,0.000643785516618182,0.002183390290891049,8.977483942455356e-05,0.0007768974099734344,0.0006828945639492625,0.0021873967832985583,0.0010906410935900557,0.0006456663819669582,0.0004607809409051867,0.00034630650603720633,8.496775442807955e-05,6.482113851154247e-05,0.0010308361265820264,0.0020256405399585935,4,140,138,4,5677,78,92,2,12,109,498,788,6332,3645,29,6
2816,0.001367100457586191,9.440659471066516e-05,0.0006687811779957583,0.0007116366563996215,0.0008253439433485221,0.0005933783452130287,7.540575820653681e-05,0.0012442775569200086,7.313870252085908e-05,7.56655680790344e-05,0.001211872867595423,7.262156609649681e-05,0.000867228293635635,6.482113851154247e-05,0.001847115620182043,0.001747550283406701,5,5676,118,81,29,159,5875,22,5767,5785,17,5744,30,5770,8,9
1020,0.0013133046663476458,9.440659471066516e-05,0.00010616959236053159,0.0028449574140506453,8.977483942455356e-05,0.0004411205862561999,0.0008031897989178664,0.001753221724129622,0.0005335544720995397,7.56655680790344e-05,0.0001798330532343768,0.0007510422504738277,0.0006234355427770347,0.00041931036248497785,0.0004314453033133229,0.00391562255511649,6,5675,1784,2,3826,281,53,4,138,5767,973,60,87,611,355,1
1188,0.0012913877303447757,9.440659471066516e-05,5.4433026550707303e-05,0.000690072634922607,8.977483942455356e-05,0.0014129042404905944,0.0018650481260765372,0.0012489139820088127,7.313870252085908e-05,7.56655680790344e-05,0.0004607809409051867,0.00046345078448377527,0.0009266505300879267,0.0005112507630659924,0.0007609454289064638,0.00032390510780612317,7,5674,2354,91,5681,12,4,21,5768,5516,372,518,23,192,59,833
191,0.0012092273046519018,9.440659471066516e-05,5.4433026550707303e-05,0.00040502226876967774,8.977483942455356e-05,0.0003587886637142511,0.0016249675309935277,6.042897592889118e-05,7.313870252085908e-05,0.0002876622638724518,0.0017542901899827818,7.262156609649681e-05,0.0005374005843795165,0.0014298161370215586,0.00012547209319185065,6.946043492708545e-05,8,5673,2353,564,5581,437,9,2753,7520,776,6,5755,378,10,1194,4878
41,0.001198502897723527,0.0005786691969992375,5.4433026550707303e-05,6.307962172545298e-05,8.977483942455356e-05,5.504313711100556e-05,0.0012805218236265146,6.042897592889118e-05,7.313870252085908e-05,0.0007376391177955553,7.21409706019723e-05,7.262156609649681e-05,8.496775442807955e-05,0.004352169603070082,0.0006096107945072256,6.946043492708545e-05,9,275,5757,5766,5571,2866,18,1604,4713,81,5769,1527,4398,1,120,5736
3253,0.0011674400536470422,9.440659471066516e-05,0.0026564534137511493,0.002193507934743553,8.977483942455356e-05,0.0009412955652872074,0.00047879668996893797,0.0003900264973258845,0.0009481164820724536,7.56655680790344e-05,7.21409706019723e-05,0.0005451870683632074,8.496775442807955e-05,0.00045545808757677613,0.0004314453033133228,6.946043492708545e-05,10,5672,1,3,664,43,495,635,23,920,6334,163,5727,265,570,5648
2328,0.0011270989271521207,9.440659471066516e-05,0.0001460235258645686,0.001590765306919346,0.0014215907214047419,0.0006201286688511089,7.540575820653681e-05,0.0014568045564395705,7.313870252085908e-05,7.56655680790344e-05,0.0004607809409051867,0.0007879871993726391,8.496775442807955e-05,6.482113851154247e-05,0.0005395489177413826,0.0016551422707809984,11,5671,1683,10,4,137,5708,12,5773,5697,480,47,5725,1326,164,11
1282,0.0011154577858204938,0.0030706988511156395,0.0004899746685715154,0.0002246183364669432,0.0007609033171079129,0.00035878866371425074,0.0007627822626850138,0.0009399395806666655,0.0016911510661121966,0.0005499072108374671,0.0006946218298926718,7.262156609649681e-05,8.496775442807955e-05,6.482113851154247e-05,0.0004314453033133229,0.00035602898083324886,12,1,254,1207,41,829,63,46,2,170,83,5685,1358,4868,334,748
