row_id,id,topics
0,1,"[(3, 0.34297545356177506)]"
1,10,"[(1, 0.99277747242546632)]"
2,100,"[(1, 0.91254904690277105)]"
3,1000,"[(0, 0.69498511062759183)]"
4,1001,"[(0, 0.37844233561990592), (1, 0.45462496586550194)]"
5,1002,"[(3, 0.77538524590128199)]"
6,1003,"[(1, 0.74547972552364172)]"
7,1004,"[(1, 0.80416404938972597)]"
8,1005,"[(1, 0.85633536455200976)]"
9,1006,"[(1, 0.96190258548630569)]"
10,1007,"[(6, 0.26511608395684488), (9, 0.38847047865067813)]"
11,1008,"[(0, 0.30167293252088079), (2, 0.43100583504160295)]"
12,1009,"[(1, 0.56730948853287722), (3, 0.41011754585639831)]"
13,101,"[(1, 0.5294015155627787), (2, 0.21071579977262153)]"
14,1010,"[(1, 0.36074606819207061), (3, 0.45510934659481073)]"
15,1011,"[(0, 0.50213828971861518)]"
16,1012,"[(2, 0.3662679000722095), (3, 0.25991837091912545)]"
17,1013,"[(1, 0.91742710705965458)]"
18,1014,"[(1, 0.95234446595414346)]"
19,1015,"[(3, 0.49404268506211996), (6, 0.50528351556338902)]"
20,1016,"[(0, 0.33109648567864258), (3, 0.60871684048878349)]"
21,1017,"[(1, 0.76839833363491694)]"
22,1018,"[(5, 0.76960602555611368)]"
23,1019,"[(9, 0.57990473037385271)]"
24,102,"[(0, 0.22940395957365864), (1, 0.75530861027194085)]"
25,1020,"[(1, 0.5915698772439083), (6, 0.21587305430692741)]"
26,1021,"[(1, 0.37982722853530532), (3, 0.53606846440829026)]"
27,1022,"[(1, 0.36918518717221338), (6, 0.27868267893091997), (7, 0.28357451067424067)]"
28,1023,"[(1, 0.97997879420803879)]"
29,1024,"[(1, 0.31202195418785167), (9, 0.68712765984614133)]"
30,1025,"[(1, 0.72443324823528965), (3, 0.22720191559406847)]"
31,1026,"[(1, 0.27515782221243257), (9, 0.64111090796409076)]"
32,1027,"[(3, 0.61445504134872986), (5, 0.27956793868312546)]"
33,1028,"[(1, 0.30103110234857183), (8, 0.51921525769717125)]"
34,1029,"[(3, 0.2869271630251583), (4, 0.51893973333596011)]"
35,103,"[(1, 0.55941060188202441), (6, 0.35101152821420689)]"
36,1030,"[(1, 0.76316206595045344), (2, 0.23526829942849561)]"
37,1031,"[(1, 0.64619259332361378)]"
38,1032,"[(1, 0.81770760526964381)]"
39,1033,"[(1, 0.54142466514319976), (2, 0.25092720244301064)]"
40,1034,"[(3, 0.55314545131808524), (7, 0.23740312687561829)]"
41,1035,"[(1, 0.73742662865447417), (3, 0.26178659577484598)]"
42,1036,"[(0, 0.83476467656176601)]"
43,1037,"[(1, 0.93840874418989428)]"
44,1038,"[(5, 0.6072185642838146), (8, 0.24979409878438308)]"
