row_id,id,topics
0,1.0,"[(3, 1)]"
1,10.0,"[(1, 1)]"
2,100.0,"[(1, 3), (0, 3), (2, 1), (8, 1)]"
3,1000.0,"[(1, 1), (2, 1)]"
4,1001.0,"[(1, 1), (2, 1)]"
5,1002.0,"[(1, 1), (3, 1)]"
6,1003.0,"[(1, 1), (3, 1)]"
7,1004.0,"[(1, 3), (0, 3), (9, 2), (6, 1), (3, 1)]"
8,1005.0,"[(1, 4), (6, 2)]"
9,1006.0,"[(2, 1), (6, 1)]"
10,1007.0,"[(1, 1), (2, 1)]"
11,1008.0,"[(1, 3)]"
12,1009.0,"[(1, 1)]"
13,101.0,"[(1, 5), (9, 1)]"
14,1010.0,"[(1, 1)]"
15,1011.0,"[(1, 1)]"
16,1012.0,"[(1, 1)]"
17,1014.0,"[(1, 1), (3, 1), (6, 1)]"
18,1015.0,"[(9, 1)]"
19,1016.0,"[(0, 2), (1, 2), (6, 1)]"
20,1017.0,"[(0, 1)]"
21,1018.0,"[(0, 2), (1, 1), (6, 1)]"
22,1019.0,"[(4, 9), (7, 8), (8, 6), (0, 4), (5, 3), (9, 2), (2, 1)]"
23,102.0,"[(1, 3)]"
24,1020.0,"[(4, 42), (0, 15), (3, 6), (7, 5), (5, 4), (1, 3), (8, 1), (2, 1)]"
25,1021.0,"[(1, 1)]"
26,1022.0,"[(1, 1)]"
27,1023.0,"[(5, 3), (1, 1)]"
28,1025.0,"[(1, 1), (6, 1)]"
29,1026.0,"[(1, 5), (2, 3), (0, 2)]"
30,1027.0,"[(1, 1)]"
31,1028.0,"[(1, 3)]"
32,1029.0,"[(1, 1)]"
33,103.0,"[(1, 1)]"
34,1030.0,"[(1, 6), (9, 5), (0, 5), (4, 4), (2, 2)]"
35,1031.0,"[(3, 2), (6, 2), (7, 2), (1, 1)]"
36,1032.0,"[(3, 1), (6, 1), (7, 1)]"
37,1033.0,"[(7, 2), (3, 1), (6, 1), (0, 1), (8, 1)]"
38,1034.0,"[(1, 1)]"
39,1035.0,"[(1, 6), (3, 4), (5, 4)]"
40,1036.0,"[(1, 2), (3, 2), (5, 1)]"
41,1037.0,"[(0, 5), (5, 3), (4, 3), (3, 1), (1, 1)]"
42,1038.0,"[(1, 1), (9, 1)]"
43,1039.0,"[(1, 1), (9, 1)]"
44,104.0,"[(1, 1)]"
45,1040.0,"[(1, 1), (9, 1)]"
46,1041.0,"[(1, 1), (9, 1)]"
47,1042.0,"[(3, 1)]"
48,1044.0,"[(3, 1)]"
49,1045.0,"[(1, 2), (3, 1), (9, 1)]"
50,1046.0,"[(7, 9), (0, 4), (3, 4), (1, 2), (8, 2), (6, 1), (2, 1)]"
51,1047.0,"[(7, 4), (2, 2), (5, 2), (1, 1), (8, 1), (6, 1), (0, 1), (4, 1)]"
52,1048.0,"[(1, 1), (8, 1)]"
53,1049.0,"[(1, 1), (8, 1)]"
54,105.0,"[(1, 1)]"
55,1050.0,"[(0, 5), (1, 4), (5, 4), (3, 1)]"
56,1051.0,"[(0, 1), (1, 1), (9, 1)]"
57,1052.0,"[(1, 1)]"
58,1053.0,"[(1, 1)]"
59,1054.0,"[(1, 2)]"
60,1055.0,"[(1, 1)]"
61,1056.0,"[(1, 2)]"
62,1057.0,"[(1, 2), (4, 1)]"
63,1058.0,"[(6, 1), (9, 1)]"
64,1059.0,"[(3, 7), (8, 1), (7, 1)]"
65,106.0,"[(1, 4), (2, 3), (8, 1)]"
66,1060.0,"[(1, 1), (8, 1)]"
67,1061.0,"[(0, 2), (1, 1), (8, 1)]"
68,1063.0,"[(1, 1), (2, 1), (7, 1)]"
69,1064.0,"[(7, 3), (2, 1)]"
70,1066.0,"[(1, 6), (8, 2), (3, 2), (9, 1), (7, 1)]"
71,1067.0,"[(8, 2), (1, 1), (7, 1)]"
72,1068.0,"[(1, 1), (7, 1)]"
73,1069.0,"[(1, 1), (7, 1)]"
74,107.0,"[(1, 1), (8, 1), (3, 1)]"
75,1070.0,"[(1, 2), (3, 1)]"
76,1071.0,"[(2, 2), (3, 1), (0, 1)]"
77,1072.0,"[(9, 1)]"
78,1073.0,"[(1, 1), (6, 1)]"
79,1074.0,"[(4, 5), (0, 3), (1, 2), (3, 2), (7, 1), (9, 1)]"
80,1075.0,"[(3, 1)]"
81,1076.0,"[(6, 1)]"
82,1077.0,"[(6, 1)]"
83,1078.0,"[(6, 1)]"
84,1079.0,"[(7, 5), (2, 4), (6, 4), (1, 1), (0, 1)]"
85,108.0,"[(1, 1)]"
86,1080.0,"[(7, 7), (2, 4), (6, 4), (1, 1), (0, 1), (8, 1)]"
87,1081.0,"[(3, 1), (5, 1), (8, 1), (7, 1)]"
88,1082.0,"[(1, 1), (6, 1)]"
89,1083.0,"[(1, 1), (5, 1)]"
90,1085.0,"[(5, 1)]"
91,1086.0,"[(5, 1)]"
92,1087.0,"[(3, 2)]"
93,1088.0,"[(3, 3), (9, 3), (4, 2)]"
94,1089.0,"[(1, 2), (6, 2), (3, 1)]"
95,109.0,"[(1, 1)]"
96,1090.0,"[(3, 1), (6, 1)]"
