id,cluster
1,57
10,73
100,78
1000,14
1001,69
1002,56
1003,7
1004,67
1005,67
1006,67
1007,68
1008,41
1009,7
101,7
1010,77
1011,63
1012,54
1013,82
1014,82
1015,69
1016,3
1017,77
1018,32
1019,24
102,81
1020,73
1021,55
1022,72
1023,82
1024,8
1025,77
1026,78
1027,54
1028,14
1029,66
103,7
1030,78
1031,71
1032,77
1033,53
1034,69
1035,76
1036,24
1037,67
1038,32
1039,69
104,57
1040,59
1041,77
1042,72
1043,72
1044,63
1045,6
1046,78
1047,56
1048,64
1049,67
105,67
1050,48
1051,72
1052,41
1053,81
1054,45
1055,78
1056,69
1057,79
1058,63
1059,35
106,75
1060,63
1061,9
1062,66
1063,27
1064,42
1065,24
1066,75
1067,71
1068,77
1069,8
107,56
1070,12
1071,76
1072,72
1073,26
1074,57
1075,69
1076,6
1077,68
1078,77
1079,25
108,72
1080,53
1081,69
1082,69
1083,73
1084,57
1085,47
1086,11
1087,78
1088,37
1089,74
109,68
1090,47
1091,78
1092,41
1094,73
1095,14
1096,7
1097,69
1098,35
1099,34
11,75
110,75
1100,66
1101,71
1102,71
1103,46
1104,68
1105,73
1106,69
1107,69
1108,12
1109,3
111,67
1111,35
1112,69
1113,54
1114,75
1115,5
1116,25
1117,21
1118,6
1119,68
112,82
1120,83
1121,28
1122,72
1123,78
1124,9
1125,75
1126,68
1127,63
1128,6
1129,78
113,68
1130,28
1131,8
1132,18
1133,32
1134,67
1135,83
1136,72
1138,71
1139,6
114,71
1140,72
1141,75
1142,75
1143,32
1144,27
1145,52
1146,83
1147,63
1148,47
1149,75
115,8
1150,77
1151,68
1152,35
1153,63
1154,76
1155,72
1156,72
1157,79
1158,79
1159,54
116,67
1160,34
1161,42
1162,68
1163,67
1164,82
1165,34
1166,54
1167,64
1168,57
1169,52
1170,42
1171,34
1172,21
1173,78
1174,47
1175,68
1176,69
1177,72
1178,76
1179,5
118,71
1180,56
1181,72
1182,69
1183,9
1184,72
1185,54
1186,45
1187,2
1188,77
1189,72
119,68
1190,5
1191,64
1192,75
1193,67
1194,11
1195,81
1196,68
1197,64
1198,69
1199,8
12,78
120,79
1200,82
1201,63
1202,64
1203,12
