id,name,numArticles,minYear,maxYear
1,Hisashi Suzuki,1,1987,1987
10,David Brady,1,1987,1987
100,Santosh S. Venkatesh,5,1987,1994
1000,Charles Fefferman,1,1993,1993
1001,Scott Markel,1,1993,1993
1002,Gregory J. Wolff,2,1993,1993
1003,Timothy W. Cacciatore,1,1993,1993
1004,Paul Sajda,6,1993,2007
1005,Leif H. Finkel,4,1993,2009
1006,Arun K. Jagota,1,1995,1995
1007,Asriel U. Levin,1,1993,1993
1008,Richard Coggins,3,1993,1998
1009,Mitchell Gil Maltenfort,1,1993,1993
101,Fernando J. Pineda,5,1987,1998
1010,Robert E. Druzinsky,1,1993,1993
1011,C. J. Heckman,1,1993,1993
1012,W. Zev Rymer,1,1993,1993
1014,Catherine Stevens,1,1993,1993
1015,Jacob Engelbrecht,1,1993,1993
1016,Mark Plutowski,3,1993,1993
1017,Shinichi Sakata,1,1993,1993
1018,Halbert White,2,1993,1993
1019,Tommi Jaakkola,19,1993,2016
102,James C. Houk,3,1987,2002
1020,Zoubin Ghahramani,50,1993,2016
1021,Eric Boussard,1,1993,1993
1022,Jean-Franois Vibert,1,1993,1993
1023,Justin A. Boyan,3,1993,2000
1025,Reinhard Blasig,1,1993,1993
1026,Anthony C. C. Coolen,5,1998,1999
1027,R. W. Penney,1,1993,1993
1028,D. Sherrington,3,1993,1998
1029,Brooks Bishofberger,1,1993,1993
103,Andreas Stafylopatis,1,1987,1987
1030,Michael S. Lewicki,12,1993,2006
1031,Eric Cosatto,4,1993,2008
1032,Richard H. Lathrop,1,1993,1993
1033,Toms Lozano-Prez,3,1993,2015
1034,Peter F. Rowat,1,1993,1993
1035,Reza Shadmehr,6,1993,2006
1036,Ferdinando A. Mussa-Ivaldi,2,1993,1994
1037,Stefan Schaal,7,1993,2014
1038,Daniel J. Rosen,1,1993,1993
1039,Eric I. Knudsen,1,1993,1993
104,Marios D. Dikaiakos,1,1987,1987
1040,Audrey L. Guzik,1,1993,1993
1041,Robert C. Eaton,1,1993,1993
1042,Nicholas S. Flann,1,1993,1993
1044,Robert M. French,1,1993,1993
1045,Laurens R. Leerink,2,1993,1994
1046,Corinna Cortes,14,1993,2016
1047,Xin Wang,7,1993,2016
1048,Qingnan Li,1,1993,1993
1049,Edward K. Blum,1,1993,1993
105,D. Kontoravdis,1,1987,1987
1050,Ralph Neuneier,8,1993,2001
1051,Stelios M. Smirnakis,1,1993,1993
1052,Steven S. Watkins,1,1993,1993
1053,Paul M. Chau,1,1993,1993
1054,Raoul Tawel,2,1988,1993
1055,Bjorn Lambrigtsen,1,1993,1993
1056,Thomas R. Shultz,2,1993,1994
1057,Jeffrey L. Elman,2,1993,1995
1058,Thomas H. Hildebrandt,1,1993,1993
1059,Christoph Bregler,7,1993,2014
106,Jehoshua Bruck,4,1987,1997
1060,Ali H. Sayed,1,1993,1993
1061,Changfeng Wang,2,1993,1994
1063,Vladimir Cherkassky,2,1993,2004
1064,Olvi L. Mangasarian,3,1996,2002
1066,Bill G. Horne,7,1993,1997
1067,Don R. Hush,2,1993,1997
1068,Richard T. J. Bostock,1,1993,1993
1069,Alan J. Harget,1,1993,1993
107,Joseph W. Goodman,2,1987,1988
1070,Iris Ginzburg,2,1993,1993
1071,Nanda Kambhatla,2,1993,1994
1072,Richard O. Duda,1,1993,1993
1073,Joachim Diederich,1,1993,1993
1074,Bruno A. Olshausen,8,1993,2010
1075,Yasuhiro Wada,1,1993,1993
1076,Melanie Mitchell,1,1993,1993
1077,John H. Holland,1,1993,1993
1078,Stephanie Forrest,1,1993,1993
1079,Steven Gold,6,1993,1996
108,William Baxter,1,1987,1987
1080,Anand Rangarajan,8,1993,2001
1081,Oded Maron,2,1993,1997
1082,K Sakai,1,1993,1993
1083,Roderic A. Grupen,1,1995,1995
1085,Kenneth M. Buckland,1,1993,1993
1086,Peter D. Lawrence,1,1993,1993
1087,Mike Hochberg,2,1993,1995
1088,Anthony J. Robinson,5,1994,1995
1089,Thea B. Ghiselli-Crippa,2,1993,1999
109,Bruce Dow,1,1987,1987
1090,Yehuda Salu,1,1993,1993
1091,Haim Sompolinsky,9,1993,2016
1094,Ralph Wolf,1,1993,1993
1095,Arlindo L. Oliveira,1,1993,1993
1096,K. Venkatesh Prasad,1,1993,1993
1098,Alessandro Sperduti,5,1993,2014
1099,Kevin R. Farrell,1,1993,1993
11,Demetri Psaltis,3,1987,1991
110,Mark Derthick,1,1987,1987
1100,Richard J. Mammone,1,1993,1993
1101,Jonathan L. Shapiro,2,1993,2001
1102,Adam Prgel-Bennett,1,1993,1993
1103,Shumeet Baluja,8,1993,1998
1104,Michael Murray,1,1993,1993
1105,Ming-Tak Leung,1,1993,1993
1106,Kan Boonyanit,1,1993,1993
1107,Kong Kritayakirana,1,1993,1993
1108,James B. Burg,1,1993,1993
1109,Tokahiro Watanabe,1,1993,1993
111,Joe Tebelskis,4,1987,1992
1112,Michael O. Duff,3,1993,1996
1113,Chien-Ping Lu,2,1993,1994
1114,G. T. Buracas,1,1993,1993
1115,T. D. Albright,1,1993,1993
1116,Lynne Kiorpes,1,1993,1993
1117,Gary G. Blasdel,1,1993,1993
1118,Didier Keymeulen,1,1993,1993
1119,Martine de Gerlache,1,1993,1993
112,Guo-Zheng Sun,5,1987,1992
1120,Gary William Flake,2,1995,1999
1122,Charles A. Micchelli,3,2004,2010
1123,Martin Lades,1,1993,1993
1124,Saeed Hadjifaradji,2,1994,1995
1125,Yuriko Oshima-Takane,1,1994,1994
1126,Yoshio Takane,1,1994,1994
1128,David Price,1,1994,1994
1129,Stefan Knerr,1,1994,1994
113,Yee-Chun Lee,5,1987,1993
1130,Ki-Chul Kim,1,1994,1994
1131,Hwang-Soo Lee,1,1994,1994
1132,Anton Schwartz,1,1994,1994
1133,James J. Knierim,1,1994,1994
1134,Hemant S. Kudrimoti,1,1994,1994
1135,Svilen Tzonev,1,1994,1994
1136,Joseph G. Malpeli,1,1994,1994
1137,Sidney Fels,1,1994,1994
1138,David A. Nix,2,1994,1998
1139,Stefan Heil,1,1994,1994
114,Hsing-Hen Chen,4,1987,1992
1140,Humbert Suarez,1,1994,1994
1141,Sepp Hochreiter,7,1994,2015
1142,Kah Kay Sung,1,1994,1994
1143,Partha Niyogi,8,1994,2006
1144,Gustavo Deco,3,1994,1999
1145,Wilfried Brauer,1,1994,1994
1146,James A. Reggia,2,1994,1994
1147,Bradley A. Minch,4,1994,2000
1148,Paul E. Hasler,3,1994,1996
1149,Chris Diorio,7,1994,2004
115,Richard M. Golden,2,1987,1999
1150,Stefan Manke,1,1994,1994
1151,Michael Finke,3,1994,1996
1152,Daniel M. Wolpert,5,1994,2016
1153,Satoshi Suzuki,1,1994,1994
1154,Hiroshi Ando,1,1994,1994
1155,Herman L. Ferr,3,1994,1996
1158,Jay A. Alexander,1,1994,1994
1159,Robert H. Crites,2,1994,1995
116,W. Scott Stornetta,1,1987,1987
1160,Leon N. Cooper,5,1987,2002
1161,Horst Bischof,2,1994,2012
1162,Kurt Hornik,4,1994,1998
1163,Rajesh P. N. Rao,6,1994,2002
1164,Cedric Deffayet,1,1994,1994
1165,Jason J. Sroka,1,1994,1994
1166,Sayandev Mukherjee,1,1994,1994
1167,Andrew McCallum,9,1994,2012
1168,Rainer Malaka,1,1994,1994
1169,Thomas Ragg,1,1994,1994
117,Tad Hogg,1,1987,1987
1170,Martin Hammer,1,1994,1994
1171,Christopher M. Bishop,11,1995,2002
1172,Claire Legleye,1,1994,1994
1173,Trevor Hastie,9,1994,2013
1174,Naonori Ueda,8,1994,2016
1175,Ryohei Nakano,3,1994,1998
1176,Fu-Sheng Tsung,1,1994,1994
1177,DeLiang L. Wang,3,1998,1999
1178,David Terman,1,1994,1994
1179,Michael R. Berthold,1,1994,1994
118,Bernardo A. Huberman,2,1987,1990
1180,Jay Diamond,1,1994,1994
1181,Usama M. Fayyad,1,1994,1994
1182,Michael C. Burl,1,1994,1994
1183,Pietro Perona,14,1994,2011
1184,Glenn Marion,1,1994,1994
1185,David Saad,13,1994,2005
1186,Kalanit Grill Spector,2,1994,2005
1187,Rafael Malach,1,1994,1994
1188,Joshua B. Tenenbaum,41,1994,2016
1189,Emanuel Todorov,8,1994,2015
119,Seho Oh,1,1987,1987
1190,Linda Kukolich,1,1994,1994
1191,David Shahian,1,1994,1994
1192,James Edward Steck,1,1994,1994
1193,Steven R. Skinner,1,1994,1994
1194,Alvaro A. Cruz-Cabrara,1,1994,1994
1195,Elizabeth C. Behrman,1,1994,1994
1196,Rich Caruana,7,1994,2014
1197,Steve R. Waterhouse,4,1994,1996
1198,Holger Schwenk,2,1994,1997
1199,Maurice Milgram,1,1994,1994
12,Frank H. Eeckman,6,1987,1993
120,James A. Ritcey,1,1987,1987
1200,Peter Sollich,14,1994,2012
1201,Lawrence K. Saul,22,1994,2012
1202,Ke Liu,1,1994,1994
1203,Robert L. Tokar,1,1994,1994
1204,Brain D. McVey,1,1994,1994
1205,Bruce Graham,1,1994,1994
1206,David J. Willshaw,1,1995,1995
1207,Minoru Asogawa,1,1994,1994
1208,Michael J. Turmon,1,1994,1994
1209,Michiaki Taniguchi,1,1994,1994
121,Geoffrey E. Hinton,58,1987,2016
1210,Tom Brashers-Krug,2,1994,1994
1211,Jrg Bruske,1,1994,1994
1212,Gerald Sommer,1,1994,1994
1213,N. Barkai,1,1994,1994
1214,Suguna Pappu,2,1994,1995
1215,Malcolm Slaney,2,1994,2000
1216,Peter T. Szymanski,1,1994,1994
1217,Jim Bergen,1,1994,1994
1218,Donald W. Mathis,1,1994,1994
1219,Michiro Negishi,2,1994,2001
122,James L. McClelland,4,1987,1999
1220,Morten With Pedersen,2,1994,1995
1221,Lars Kai Hansen,6,1994,2000
1222,Toru Ohira,2,1994,1999
1223,Teresa Serrano-Gotarredona,1,1994,1994
1224,Bernab Linares-Barranco,1,1994,1994
1225,Jos Luis Huertas,1,1994,1994
1226,V. Sundareswaran,1,1994,1994
1227,Lucia M. Vaina,2,1994,2003
1228,Irfan A. Essa,2,1994,2000
1229,Jrg Kindermann,1,1994,1994
123,Richard C. Windecker,1,1987,1987
1230,Jesper Vedelsby,1,1994,1994
1231,A. J. Holmes,1,1994,1994
1232,J. Hajto,1,1994,1994
1233,M. J. Rose,1,1994,1994
1234,Joseph Sirosh,2,1994,1995
1235,Risto Miikkulainen,4,1994,1997
1236,Dawei W. Dong,2,1994,1996
1237,Cesare Furlanello,1,1994,1994
1238,Diego Giuliani,1,1994,1994
1239,Edmondo Trentin,1,1994,1994
124,Joshua Alspector,5,1987,1994
1240,E. Erwin,1,1994,1994
1241,Magnus Stensmo,2,1994,1996
1242,Todd S. Braver,1,1994,1994
1243,Steve Lawrence,2,1995,2000
1244,Andrew D. Back,2,1994,1995
1245,Dimitris I. Tsioutsias,1,1995,1995
1246,Ehud Zohary,1,1995,1995
1247,Leslie S. Smith,1,1995,1995
1248,Alexander Grunewald,2,1995,1997
1249,Susan L. McCabe,1,1995,1995
125,Robert B. Allen,4,1987,1990
1250,Michael J. Denham,1,1995,1995
1251,Peter Auer,4,1995,2011
1252,Mark Herbster,8,1995,2016
1253,Manfred K. Warmuth,18,1995,2014
1254,Carl Edward Rasmussen,10,1995,2016
1255,Tsutomu Nakai,1,1995,1995
1256,Tatsuo Morimoto,1,1995,1995
1257,Ryu Kaihara,1,1995,1995
1258,Hiroyuki Nakahara,5,1995,2004
1259,Ralph Etienne-Cummings,6,1995,2004
126,Victor Hu,1,1987,1987
1260,James W. Howse,1,1995,1995
1261,Chaouki T. Abdallah,1,1995,1995
1262,Gregory L. Heileman,1,1995,1995
1263,Dirk Ormoneit,5,1995,2001
1264,Anke Meyer-Bse,1,1995,1995
1265,Benjamin Van Roy,12,1995,2016
1266,John N. Tsitsiklis,5,1995,1999
1267,Dan J. Kershaw,1,1995,1995
1268,Amir A. Handzel,1,1995,1995
1269,Philip N. Sabes,2,1995,2014
127,Srinagesh Satyanarayana,2,1987,1989
1270,Ssu-Hsin Yu,1,1995,1995
1271,Anuradha M. Annaswamy,1,1995,1995
1272,R. Timothy Edwards,3,1995,1998
1273,Ethem Alpaydin,1,1995,1995
1274,S. N. Laughton,1,1995,1995
1275,Pascal Koiran,1,1995,1995
1276,Rasmus S. Petersen,1,1995,1995
1277,John G. Taylor,1,1995,1995
1278,Yishay Mansour,11,1995,2016
1279,Sigal Sahar,1,1995,1995
128,Harry Wechsler,1,1987,1987
1280,Andrew W. Senior,3,1995,2016
1281,Charles F. Stevens,3,1995,1999
1282,Klaus-Robert Mller,35,1995,2016
1283,Howard Hua Yang,6,1995,1999
1284,Stefan M. Rger,1,1995,1995
1285,Marina Meila,13,1995,2016
1286,Tong Xu,1,1995,1995
1287,Vasken Bohossian,2,1995,1997
1288,Krste Asanovic,1,1995,1995
1289,Brian Kingsbury,1,1995,1995
129,George Lee Zimmerman,1,1987,1987
1290,David Johnson,1,1995,1995
1291,Luiz Pessoa,1,1995,1995
1292,William D. Ross,1,1995,1995
1293,Christopher L. Fry,1,1995,1995
1294,Andrea Drees,1,1995,1995
1295,Bambang Parmanto,2,1995,1996
1296,Howard R. Doyle,1,1995,1995
1297,Jeffrey C. Jackson,1,1995,1995
1298,Mark Craven,4,1995,2007
1299,Angelo Marcantonio,1,1995,1995
13,Amir F. Atiya,4,1987,1998
130,Lyle J. Borg-Graham,1,1987,1987
1300,N. Iwan Santoso,1,1995,1995
1301,A. David Redish,1,1995,1995
1302,Lucas C. Parra,8,1995,2008
1303,Soren Kamaric Riis,1,1995,1995
1304,Alistair Ferguson,1,1995,1995
1305,Theo Sabisch,1,1995,1995
1306,Paul Kaye,1,1995,1995
1307,Laurence C. Dixon,1,1995,1995
1308,Hamid Bolouri,1,1995,1995
1309,Jacek Szymanski,1,1995,1995
131,J. Bernasconi,1,1987,1987
1310,Scott Makeig,5,1995,2006
1311,Tzyy-Ping Jung,4,1995,1998
1312,Peter Stone,1,1995,1995
1313,Manuela M. Veloso,2,1995,2012
1314,Marcelo Blatt,1,1995,1995
1315,Shai Wiseman,1,1995,1995
1316,S. Yasui,1,1995,1995
1317,T. Furukawa,1,1995,1995
1318,M. Yamada,1,1995,1995
1319,T. Saito,1,1995,1995
132,L. Richard Carley,1,1987,1987
1320,David P. Helmbold,2,1995,1999
1321,Jyrki Kivinen,3,1995,2001
1322,Samuel P. M. Choi,2,1995,1999
1323,Dit-Yan Yeung,11,1995,2016
1324,Stefan C. Kremer,1,1995,1995
1325,Salah El Hihi,1,1995,1995
1326,Steven Finch,1,1995,1995
1327,Milos Cekic,1,1995,1995
1328,Bernard Lemari,1,1995,1995
1329,Michel Gilloux,1,1995,1995
133,Grard Dreyfus,3,1987,1994
1330,Manuel Leroux,1,1995,1995
1331,Jonathan Baxter,5,1995,2001
1332,Atsushi Sato,1,1995,1995
1333,Keiji Yamada,1,1995,1995
1334,Asriel E. Levin,1,1995,1995
1335,Andrzej Cichocki,3,1995,1999
1336,Marian Stewart Bartlett,3,1995,1999
1337,Jan Larsen,2,1995,1995
1338,Joseph C. Hager,2,1995,1999
1339,Paul Ekman,2,1995,1999
134,Isabelle Guyon,5,1987,2004
1340,Jefferson A. Coelho Jr.,1,1995,1995
1341,R. Sitaraman,1,1995,1995
1342,Lizhong Wu,2,1995,1996
1343,Michael DeWeese,1,1995,1995
1344,Maha Kadirkamanathan,1,1995,1995
1345,Jeff G. Schneider,7,1995,2011
1346,Giacomo Indiveri,9,1995,2013
1347,Jrg Kramer,4,1995,2004
1348,Francois Gingras,1,1995,1995
1349,Siegfried Bs,2,1995,1996
135,Jean-Pierre Nadal,3,1987,1998
1350,Gregory J. Zelinsky,2,1995,2005
1351,Mary M. Hayhoe,1,1995,1995
1352,Hugh T. Blair,1,1995,1995
1353,Serguei A. Semenov,1,1995,1995
1354,Irina B. Shuvalova,1,1995,1995
1355,Robert Tibshirani,4,1995,2004
1356,Markus Svensn,2,1995,1996
1357,Geoffrey J. Gordon,15,1995,2016
1358,Geoffrey B. Jackson,1,1995,1995
1359,Jun Tani,2,1995,2003
136,Lon Personnaz,3,1987,1994
1360,Kevin J. Cherkauer,1,1995,1995
