paper_id,author_id
63,7720
80,124
80,125
80,126
80,127
9,13
20,33
20,34
20,35
66,99
66,100
3,252
3,7094
71,108
71,109
83,131
82,130
24,40
24,13
40,40
40,68
40,69
34,40
34,58
89,137
70,106
70,107
88,98
84,132
55,86
55,87
48,357
48,7078
2,3
31,55
22,36
22,37
73,322
73,7079
16,18
16,25
72,110
72,111
87,133
87,134
87,135
87,136
8,12
47,78
47,79
28,50
15,24
60,92
62,93
13,20
14,21
14,22
14,23
75,115
44,7081
44,7082
44,7083
44,7084
53,1385
65,2155
65,98
78,121
78,122
68,102
7,9
7,10
7,11
26,45
26,46
45,74
45,75
45,76
61,7080
39,67
25,41
25,42
25,43
25,44
46,77
59,7824
59,91
38,65
38,66
86,7088
86,7093
86,7090
86,7091
86,7092
19,32
5,6
51,7087
49,80
11,15
11,16
11,17
11,18
29,51
29,52
77,35
77,33
77,119
77,120
92,308
36,60
36,61
36,62
18,28
18,29
18,30
18,31
27,47
27,48
27,49
90,138
64,95
64,96
67,101
4,4
4,5
17,7100
17,27
42,72
42,7102
33,486
33,487
33,56
91,139
91,140
50,81
50,82
50,83
21,14
21,7085
21,7086
21,1160
10,14
52,7095
52,7096
56,88
37,63
37,64
23,38
23,2356
58,89
69,103
69,104
69,105
76,116
76,117
76,118
74,112
74,113
74,114
1,1
1,2
6,7
6,8
12,19
30,53
30,54
35,59
41,70
41,71
32,56
32,57
81,128
81,129
79,123
85,25
85,18
54,7050
54,85
106,144
106,164
106,165
139,231
140,232
175,293
134,222
134,7103
162,264
149,19
149,245
123,99
118,188
118,189
118,190
154,252
154,253
127,210
127,211
127,212
127,213
127,214
127,7105
142,53
119,191
119,89
180,301
180,302
148,46
148,244
101,156
101,157
122,200
122,201
122,121
181,2821
181,304
181,2579
129,217
129,53
184,1054
156,2155
156,256
102,6
94,143
94,144
94,145
109,175
109,176
185,309
113,178
113,179
113,180
113,181
141,233
141,234
143,235
135,224
135,225
135,226
150,246
150,247
150,248
161,262
161,263
186,310
186,7110
186,7109
186,313
146,240
146,241
146,242
146,243
97,147
97,148
97,149
97,150
147,7111
147,26
95,146
177,294
177,295
107,18
107,166
107,16
107,167
107,168
107,7113
107,7023
107,171
107,134
158,259
158,260
105,162
105,163
105,107
183,308
173,290
173,291
171,7064
171,284
171,285
171,286
171,287
124,202
124,203
124,204
131,219
131,40
131,43
100,155
100,54
138,229
138,230
168,280
168,251
168,40
126,207
126,208
126,209
152,249
152,250
152,251
152,40
178,296
178,177
132,220
145,239
121,199
93,141
93,142
182,58
182,306
182,307
182,40
125,205
125,206
163,265
163,7114
116,186
116,7115
133,221
114,182
165,269
164,267
164,268
98,7116
120,192
120,7117
120,7118
120,195
120,196
120,197
120,198
111,51
111,52
115,183
115,184
115,7119
130,218
153,210
153,213
136,227
108,172
108,173
108,174
160,140
157,257
157,258
157,7720
188,316
188,317
188,122
103,158
144,236
144,237
144,238
187,314
187,47
187,315
172,288
172,289
169,281
99,152
99,153
99,154
151,7074
151,7075
151,7076
151,7077
166,270
166,271
166,272
166,273
166,274
166,275
166,276
166,277
166,278
137,228
137,7077
104,160
104,159
104,161
155,254
155,255
159,124
159,261
159,125
110,17
110,168
110,169
189,318
189,319
179,297
179,298
179,299
179,300
128,216
167,279
170,282
174,292
112,177
224,367
255,7064
255,284
220,362
249,393
249,394
249,54
272,424
272,425
272,426
272,427
254,183
254,184
287,445
287,446
235,251
235,40
200,239
285,398
285,41
285,443
246,58
246,40
221,329
221,1630
210,316
210,346
210,347
276,430
276,424
196,328
196,40
252,397
252,398
279,432
279,293
223,365
223,24
223,366
219,361
288,447
259,404
259,46
234,379
234,121
222,265
222,364
192,45
192,46
213,349
213,309
195,292
273,178
273,180
273,179
248,392
290,54
290,449
290,450
290,451
257,402
284,442
230,148
230,147
241,388
241,191
241,121
240,385
240,386
240,387
190,320
266,418
264,412
264,413
264,414
264,415
204,339
204,340
289,448
199,330
199,331
251,396
283,439
283,440
283,441
191,321
191,322
191,323
280,433
280,434
280,19
201,332
201,309
268,140
268,421
243,21
243,112
243,114
243,113
243,390
231,374
231,375
293,200
293,454
293,18
293,167
293,168
293,169
293,170
267,419
267,420
211,259
211,348
214,178
214,350
214,351
214,352
216,140
216,356
292,191
292,453
263,409
263,410
263,411
269,218
286,444
286,53
282,308
282,41
242,389
242,67
202,333
262,407
262,345
262,408
260,201
260,121
205,188
207,341
207,342
227,2155
265,416
265,19
265,417
208,232
208,343
233,378
261,33
261,405
261,406
225,368
209,344
209,345
206,13
206,7720
250,200
250,18
250,395
238,217
238,53
238,383
236,380
236,381
203,33
203,334
203,335
203,336
203,35
203,337
203,338
275,7065
275,7066
253,399
197,221
228,369
228,370
270,422
270,423
277,322
277,431
277,323
226,252
194,7067
194,7068
194,7069
193,324
193,202
232,376
232,377
212,101
244,391
274,99
274,428
274,429
229,371
229,372
229,373
258,403
258,43
218,41
218,358
218,281
218,359
218,360
218,42
237,127
237,382
237,16
239,28
239,384
239,30
245,4
215,353
215,315
215,47
215,314
215,354
215,355
217,357
217,246
281,435
281,436
281,437
281,438
256,400
256,401
291,452
198,329
437,329
437,1630
299,458
299,459
299,460
322,220
350,7699
350,1630
309,477
353,516
353,517
353,518
353,519
306,471
306,472
306,40
427,629
427,630
427,631
424,7699
319,485
398,172
398,589
371,549
336,239
336,12
346,7700
346,511
346,52
382,2821
382,571
382,572
425,7701
425,7702
302,465
302,398
302,41
302,466
302,467
339,505
421,621
421,424
363,535
423,624
423,309
356,523
356,524
303,468
374,554
374,229
374,555
402,77
402,95
402,206
330,341
358,111
358,309
358,525
358,526
372,125
372,550
359,265
359,364
359,527
295,7703
295,334
360,528
360,529
328,292
328,7705
320,391
341,175
341,506
341,507
341,176
403,176
403,7706
403,591
403,592
403,7707
403,507
403,593
403,594
390,581
331,496
331,497
331,498
331,499
347,512
313,284
313,7064
313,481
329,388
329,121
378,562
362,532
362,533
362,534
366,199
366,542
335,503
335,504
438,641
438,642
333,501
311,479
311,480
311,41
317,385
375,424
375,466
375,556
396,558
396,586
396,587
396,7078
433,425
433,635
433,424
368,545
368,12
368,546
379,370
413,358
413,41
376,7710
376,557
376,558
376,41
384,574
384,221
384,165
384,7711
414,315
414,353
414,610
414,611
414,7712
432,146
316,484
316,413
377,559
377,560
377,561
365,539
365,540
365,541
385,453
428,632
388,326
337,411
321,486
321,487
321,56
327,494
327,134
327,395
393,583
422,7714
422,622
422,7715
422,184
326,492
326,493
380,563
380,564
380,565
380,566
380,567
380,568
380,569
387,576
387,577
387,578
344,510
389,579
389,580
315,483
397,67
397,489
397,588
361,530
361,531
405,7717
405,7718
405,6949
355,522
399,258
399,7720
406,601
406,602
406,89
369,547
369,548
417,615
417,616
370,140
370,421
298,182
338,191
434,636
434,637
434,638
434,639
307,473
307,474
416,614
297,2155
297,144
351,513
351,514
408,605
300,461
300,462
300,463
300,464
312,457
340,231
294,455
294,448
325,4
373,7721
373,7722
373,7102
415,389
415,612
415,447
415,7724
412,99
324,490
324,491
343,423
343,26
343,509
296,308
296,457
430,331
430,330
318,368
318,121
308,475
308,476
429,191
429,633
381,570
381,46
420,619
420,620
391,7725
435,248
418,617
418,618
400,590
400,293
407,603
407,604
357,210
357,214
419,18
419,200
395,584
395,182
310,478
323,488
323,489
323,118
439,643
439,100
348,221
349,371
349,373
301,252
301,379
401,1640
401,53
314,200
314,482
314,395
394,291
394,139
332,500
332,11
332,100
436,640
386,575
354,7726
354,7727
354,7728
354,7729
410,7730
410,607
431,634
431,46
392,378
352,213
352,7732
352,7733
352,210
334,502
426,625
426,626
426,627
426,628
342,17
342,508
367,124
367,125
367,543
367,544
367,189
404,595
404,596
404,597
404,598
383,573
304,7734
304,469
304,7735
304,7736
411,608
411,609
364,7737
364,537
364,7738
364,7739
460,674
460,675
460,676
479,7740
479,692
575,632
575,7741
469,426
469,424
450,308
541,763
541,41
541,764
539,518
539,519
539,516
545,770
491,7743
491,7744
566,791
478,7058
478,7059
478,7060
565,619
565,620
565,790
444,650
537,759
537,760
581,7745
581,41
526,748
526,749
580,809
580,309
483,524
483,523
483,699
483,700
449,535
449,661
449,662
527,750
527,46
443,647
443,364
443,265
443,648
443,649
521,178
521,180
521,745
521,746
480,309
480,332
480,693
480,111
480,694
480,695
480,526
480,696
480,697
448,659
448,660
448,413
448,330
550,7703
550,334
550,774
476,332
473,687
458,671
458,140
553,775
553,268
517,337
517,334
569,754
465,53
576,797
576,798
576,799
522,191
524,676
524,675
524,674
523,583
475,7747
475,33
475,688
560,784
560,785
555,21
555,7749
555,7750
555,7751
555,7752
555,7753
468,636
468,684
504,112
504,114
504,113
507,267
464,680
446,653
446,654
446,373
446,655
446,656
559,422
559,783
534,757
534,121
562,418
562,787
562,54
462,678
462,679
505,730
505,731
463,641
513,739
513,740
513,54
551,217
499,172
540,191
540,388
540,762
582,7754
582,7078
582,811
515,741
515,642
574,391
574,795
574,387
574,386
512,7755
512,7756
512,7757
512,7758
512,7759
564,16
564,788
564,789
557,779
557,6958
557,200
557,18
570,7760
570,489
461,419
461,677
533,121
533,7072
533,7762
452,666
452,667
573,539
573,540
571,7764
543,767
543,413
503,728
503,578
503,729
492,715
585,558
577,2821
577,200
542,765
542,766
549,772
549,667
549,773
474,477
532,753
532,7766
532,7067
532,7767
486,703
486,704
487,705
487,706
487,413
487,707
586,7768
586,7769
586,821
586,7770
586,7771
586,824
451,663
451,664
451,7772
511,737
511,738
511,54
447,657
447,658
447,562
502,248
502,727
579,805
579,806
579,807
579,808
441,293
441,645
519,380
519,743
482,606
556,778
561,786
516,742
516,21
490,4
490,711
471,609
471,608
471,685
477,689
477,690
528,751
528,228
466,2398
466,216
554,776
554,454
554,170
584,816
584,2747
584,364
584,818
496,719
496,7773
496,721
496,5
500,281
558,781
558,782
558,216
455,557
501,722
501,723
501,724
501,74
501,725
501,726
506,7756
488,324
530,293
489,253
489,2449
489,709
489,710
457,670
453,124
453,543
453,668
510,736
454,291
536,2821
536,572
536,200
536,7778
583,812
583,813
583,814
583,815
535,758
535,253
547,77
547,95
547,206
481,698
481,11
493,716
493,448
529,431
529,106
563,371
563,373
495,457
520,744
520,191
520,89
546,577
546,578
514,330
514,331
498,368
498,121
470,547
509,590
509,293
472,686
472,54
567,7061
459,672
459,673
442,575
442,6348
568,293
568,793
494,717
494,7780
538,231
538,326
538,761
531,752
484,701
484,256
572,218
440,292
440,644
440,324
525,747
485,7781
467,682
467,620
467,619
467,683
456,349
456,669
544,768
544,7783
508,733
508,734
508,735
445,651
445,534
578,800
578,801
578,802
578,688
578,804
548,771
646,391
669,911
669,457
590,431
590,7785
590,323
691,636
691,942
687,7786
593,833
593,710
593,2821
656,2821
656,200
656,18
657,431
657,7785
587,825
587,21
587,112
616,7720
597,836
605,670
605,547
618,862
612,856
612,857
660,7006
694,946
604,848
604,191
715,570
715,46
653,7755
653,7757
653,7756
589,200
589,2821
589,291
647,893
647,620
674,388
674,7072
674,191
701,112
701,114
701,113
665,7787
665,7788
659,902
641,7789
608,823
608,7790
663,906
663,2579
643,7791
643,7792
643,7793
706,239
706,956
706,12
690,941
642,765
642,766
651,558
651,448
714,632
714,121
631,146
614,7013
614,539
712,964
615,860
693,706
693,945
693,707
693,413
648,894
683,934
699,231
595,834
595,835
649,895
649,246
596,757
679,368
679,54
639,878
639,879
639,880
639,881
709,961
709,962
709,963
621,217
621,562
661,645
661,173
670,715
602,845
602,846
636,7754
636,7078
652,896
652,897
611,419
611,677
611,855
611,420
634,485
634,293
650,884
686,936
686,937
613,858
622,758
622,3986
622,864
622,865
682,47
682,933
628,686
628,54
637,876
637,485
680,928
680,929
680,930
680,931
617,861
617,373
609,247
609,246
716,7795
676,918
676,919
676,920
676,921
592,831
592,832
668,869
668,473
668,910
627,869
627,473
619,765
619,530
644,887
644,888
644,889
700,950
601,843
601,760
601,844
692,943
692,944
696,948
696,575
703,953
703,7053
695,947
710,649
710,648
710,364
710,489
710,952
678,659
678,660
678,926
678,927
678,413
697,949
697,216
697,450
673,245
673,7054
702,951
702,364
702,527
702,952
702,649
702,648
666,524
666,909
623,111
623,309
598,7797
598,7798
598,7799
598,7800
620,797
620,309
607,7801
607,851
607,7755
607,852
607,7735
633,535
633,661
664,907
664,582
629,99
629,221
629,870
629,871
600,2625
600,841
600,842
588,826
588,4
588,7802
654,898
654,899
654,314
654,47
654,355
625,868
625,358
625,41
632,7802
632,875
632,7773
632,5
708,7803
708,7804
708,7805
708,960
630,7055
630,7056
640,882
640,883
640,631
640,630
591,557
591,827
591,7076
591,829
591,830
672,41
672,915
672,6907
672,281
672,42
672,829
681,7807
681,7808
681,7809
681,7810
681,932
599,89
624,866
624,867
626,191
626,825
638,562
638,877
638,217
655,900
655,330
707,577
707,957
603,847
658,901
662,759
662,904
662,4049
684,251
645,890
645,891
645,892
713,144
713,7057
685,935
685,865
667,6
704,2534
704,54
704,787
606,4108
606,7811
606,7814
606,7813
606,6949
675,7815
675,7816
675,917
675,7817
635,796
594,7818
594,714
594,505
689,939
689,940
689,329
610,853
610,854
705,7819
677,922
677,923
677,924
677,925
677,133
677,136
671,912
671,913
671,914
798,121
798,388
845,388
845,121
846,825
846,191
735,989
754,1007
754,485
754,293
814,1059
814,457
836,1076
836,1077
836,1078
841,1081
841,558
817,239
817,956
817,12
724,178
724,977
746,998
722,973
722,974
722,182
838,1079
838,172
838,1080
719,7820
719,969
831,906
767,1020
767,330
808,562
808,217
808,1050
721,971
721,972
869,231
825,1071
825,485
789,1037
789,448
875,2821
723,975
723,976
723,865
745,768
745,769
796,950
728,7795
720,970
781,769
781,332
781,1032
781,1033
824,1070
824,748
833,2821
833,16
823,1068
823,1069
818,7821
818,1063
791,946
749,893
749,620
749,7037
873,1497
802,1045
802,7790
840,645
747,999
816,1061
816,100
816,670
837,618
874,7822
874,7823
803,1046
803,7023
803,395
803,732
803,18
748,1000
748,1001
801,188
801,7824
815,893
815,1060
815,323
822,1066
822,1067
811,698
739,947
821,7825
821,7826
762,1016
762,1017
762,1018
839,7827
839,7053
862,1101
862,1102
849,1707
849,7044
849,7045
849,7047
849,7048
786,999
726,984
737,992
737,993
737,865
737,994
775,7009
775,1027
775,1028
806,7829
806,988
850,549
850,555
854,1070
854,1091
772,485
772,876
730,869
730,473
804,1047
804,1048
804,1049
757,584
780,631
717,763
717,41
717,764
766,922
766,923
766,924
766,925
756,1009
756,1010
756,1011
756,1012
868,458
868,1116
868,1117
835,466
835,424
768,1021
768,1022
783,759
783,4049
783,1034
793,1040
793,1041
776,359
776,1029
776,41
777,1030
800,849
800,632
800,54
790,1038
790,489
790,1039
782,231
743,996
736,990
736,749
736,41
736,991
848,1085
848,1086
872,2863
872,7830
872,113
843,754
843,325
843,2849
843,7832
788,448
770,1023
770,343
765,405
865,7833
865,1112
773,934
773,325
764,1019
764,330
764,754
742,558
750,1003
750,368
830,1075
830,927
830,660
830,413
769,7042
769,134
769,200
769,776
769,7043
856,1094
856,4
863,1103
863,146
761,99
761,566
761,221
761,1015
761,371
876,6487
876,1123
876,12
794,1042
779,16
779,1031
741,7835
871,1118
871,1119
758,7824
758,7836
758,7837
820,686
820,632
820,54
805,248
826,976
826,865
718,967
718,595
810,1052
810,1053
810,1054
810,1055
810,1016
778,941
727,216
727,985
755,1008
755,7790
877,7049
877,7050
731,7039
731,7040
731,7041
864,1104
864,1105
864,1106
864,1107
864,1108
864,1002
864,1109
864,7838
864,620
864,7839
729,465
729,986
857,1095
857,7103
725,978
725,979
725,980
725,981
725,3042
725,983
834,721
819,178
819,200
819,167
832,7840
832,679
842,1082
842,1005
738,217
867,1114
867,1115
771,7842
771,7843
866,1113
866,172
752,1004
752,1005
809,937
809,1051
809,936
795,2956
795,7845
795,699
792,570
792,46
858,1002
858,1096
858,620
858,7846
861,1099
861,1100
751,659
751,660
751,413
851,647
851,1087
851,1983
763,716
763,7847
763,839
763,837
827,1072
787,1035
787,1036
759,1014
759,636
774,1025
852,1089
852,547
740,7786
812,1056
812,1057
860,1098
784,1016
784,530
784,1018
853,1090
855,7730
855,7850
855,7851
844,7726
844,7727
859,488
807,769
807,768
807,7854
807,558
829,465
829,1074
870,405
734,7829
734,988
733,144
799,1044
828,1073
828,606
813,1058
797,810
753,7038
760,897
760,54
744,997
898,1140
898,41
898,7855
983,1218
983,191
973,1210
973,1035
973,1189
986,1219
942,473
942,1146
909,1152
909,1020
909,330
904,890
935,1168
935,1169
935,1170
945,6917
945,6918
945,519
945,516
972,471
972,7016
972,7017
972,7018
974,7025
974,7026
1017,1240
1017,7058
1017,7059
888,759
888,54
1013,1234
1013,1235
954,1186
954,386
954,1187
928,739
928,1164
928,54
891,1135
891,460
891,1136
1020,1242
1020,347
1020,316
902,473
902,1146
902,748
884,739
884,54
992,388
992,54
890,912
890,1133
890,1134
890,913
926,618
905,893
905,323
944,2504
944,1178
979,1200
913,947
913,1155
925,485
1001,371
1001,1230
918,1046
918,7023
918,7024
901,1144
901,1145
952,1184
952,1185
917,1061
917,100
991,1222
991,329
878,888
878,1124
965,1200
965,1185
996,189
976,1213
976,2260
976,7856
934,2956
934,699
914,7857
914,7858
914,7726
970,1208
970,7725
931,1166
931,7725
951,1019
951,754
951,330
912,7014
912,1804
912,7015
981,754
981,1019
981,330
1018,1023
1018,558
932,1167
887,539
887,1132
889,964
889,1112
916,1159
916,325
930,7720
971,562
971,1209
964,178
964,977
966,1201
966,330
1000,902
1000,1229
880,1103
880,146
1008,969
1008,7820
953,770
953,54
1003,686
1003,54
943,1176
943,530
896,1138
896,488
975,1211
975,1212
924,539
968,1205
968,7861
946,1179
946,1180
899,1141
899,583
990,1045
990,21
990,1066
990,7790
941,1174
941,1175
919,178
919,977
955,1188
955,1189
980,7764
980,1216
936,7036
936,1235
989,475
989,178
900,1142
900,1143
881,1056
881,1125
881,1126
915,1158
915,191
895,1020
893,946
906,936
906,330
906,121
938,7027
938,1172
882,7863
882,1066
882,21
959,1196
1012,1098
1012,620
987,1220
987,1221
907,1071
907,485
985,562
985,1050
985,217
1009,1066
1009,21
1011,405
1011,1020
1011,330
933,1079
933,1080
933,172
940,7022
940,488
1004,1008
1004,7790
1004,823
1004,820
903,1147
903,1148
903,1149
903,43
921,997
921,1160
997,1223
997,1224
997,1225
1006,1231
1006,47
1006,898
1006,1232
1006,1233
958,1192
958,1193
958,1194
958,1195
947,941
947,6919
963,359
957,101
957,216
911,932
911,124
886,354
886,1130
886,1131
994,1148
994,1149
994,1147
994,43
978,1215
960,1197
960,1088
892,1137
892,121
993,998
929,716
929,838
929,1165
929,839
1016,1237
1016,1238
1016,1239
950,570
950,46
885,1244
885,606
923,1163
923,2579
984,368
984,4
999,678
999,1228
999,679
998,1226
998,1227
1014,1236
894,757
922,1161
922,1162
910,1153
910,1154
977,1079
977,1113
977,1080
977,1214
977,172
1002,7072
1002,756
1002,121
879,1059
879,457
982,283
982,284
982,1217
961,1198
961,1199
939,1173
939,2821
1005,7027
1005,7029
1005,7030
1005,7032
1005,7033
1005,7035
962,121
962,756
962,632
927,231
967,1202
967,1203
967,1204
1015,146
897,583
897,1139
956,46
956,1190
956,1191
988,7019
988,7020
988,7021
1007,539
1019,1241
1019,54
949,248
949,1181
949,1182
949,1183
949,99
908,1150
908,1151
908,309
969,1207
883,1128
883,1129
883,136
883,133
1010,1035
1010,1210
1010,1036
948,1020
948,1152
948,330
1052,1188
1071,739
1071,54
1107,419
1152,1298
1152,578
1160,1375
1031,1258
1031,759
1139,1360
1139,578
1026,1249
1026,1250
1078,1301
1078,140
1023,358
1023,1246
1023,41
1135,1281
1135,518
1053,1276
1053,1277
1035,954
1035,54
1146,1364
1146,1206
1057,1281
1057,518
1069,1293
1041,1268
1041,704
1157,1372
1157,549
1157,555
1157,1373
1105,471
1105,1327
1145,325
1145,102
1091,1310
1091,770
1091,1311
1091,54
1129,1352
1094,1316
1094,1317
1094,1318
1094,1319
1112,1331
1060,844
1060,843
1060,1282
1060,1151
1060,1283
1070,708
1044,1200
1044,371
1051,1275
1051,640
1108,943
1108,640
1158,618
1127,1349
1061,1284
1064,500
1064,1286
1122,551
1122,1344
1066,1287
1066,106
1049,7009
1049,1274
1049,1028
1054,1278
1054,1279
1163,736
1163,1381
1033,1260
1033,1261
1033,1262
1120,1343
1148,888
1148,1124
1140,1361
1072,1185
1072,395
1095,1320
1095,1321
1095,1253
1028,1251
1028,1252
1028,1253
1156,1371
1156,1185
1103,796
1103,1326
1103,54
1037,1264
1086,947
1086,1309
1086,6348
1086,575
1167,1197
1167,1386
1167,1088
1130,1353
1130,1354
1147,1365
1090,1047
1090,1006
1090,988
1090,7829
1099,976
1027,951
1027,265
1027,364
1126,178
1126,1348
1050,457
1131,1173
1131,1355
1092,1314
1092,1315
1092,190
1113,1332
1113,1333
1172,1390
1172,1391
1080,1302
1065,936
1062,99
1062,1162
1119,1342
1119,293
1132,1171
1132,1356
1132,7072
1144,1020
1144,330
1059,833
1059,1046
1155,1201
1155,330
1102,1325
1102,178
1098,658
1098,562
1171,121
1171,756
1048,7072
1048,1254
1174,1220
1174,1221
1174,1337
1111,1019
1111,1201
1111,330
1175,1395
1175,578
1036,1263
1036,562
1142,1363
1142,1057
1136,1120
1100,686
1100,54
1141,1362
1141,459
1151,1368
1151,1066
1151,1369
1151,21
1165,1197
1165,1088
1161,1376
1161,1377
1161,1378
1161,302
1029,1254
1058,1037
1058,448
1101,1324
1067,827
1067,1288
1067,1289
1067,818
1067,1290
1067,364
1088,1079
1088,1080
1022,1245
1022,172
1034,539
1097,577
1076,1297
1076,1298
1153,1370
1153,121
1153,632
1173,1392
1173,1393
1173,1394
1055,6907
1055,2398
1030,978
1030,1255
1030,1256
1030,1257
1030,980
1030,983
1046,1272
1046,941
1123,557
1123,827
1032,1259
1032,271
1032,270
1166,1384
1166,1385
1125,1346
1125,1347
1125,41
1024,1247
1149,1366
1149,1234
1149,1235
1056,1280
1056,1088
1039,1267
1039,1088
1039,1087
1115,844
1115,1335
1115,1283
1106,1328
1106,1329
1106,1330
1047,1273
1104,7011
1104,7012
1021,1243
1021,606
1021,1244
1118,1214
1118,1079
1118,1080
1154,465
1154,41
1083,397
1164,846
1164,1382
1164,1383
1116,1336
1116,418
1116,54
1116,599
1116,1337
1116,1338
1116,1339
1128,1163
1128,1350
1128,1351
1128,2579
1025,1248
1068,1291
1068,1292
1040,418
1040,686
1040,54
1079,678
1079,679
1045,308
1168,1387
1168,1103
1168,1388
1075,1295
1075,547
1075,1296
1150,1367
1089,1312
1089,1313
1074,908
1074,1294
1074,459
1159,7790
1159,1374
1082,371
1082,1303
1077,95
1077,1299
1077,590
1077,2155
1077,785
1077,1300
1087,1310
1087,1311
1087,54
1170,4
1170,1389
1096,1322
1096,1323
1121,1050
1081,1196
1081,1103
1081,7013
1114,1334
1162,1379
1162,1380
1162,1155
1162,947
1084,1304
1084,1305
1084,1306
1084,1307
1084,1308
1138,1359
1138,945
1117,1340
1117,1341
1117,1083
1063,1285
1063,330
1043,1270
1043,1271
1073,1159
1073,325
1085,3105
1085,769
1134,1358
1134,47
1109,326
1038,1265
1038,1266
1133,1357
1143,632
1143,754
1124,558
1124,1345
1169,759
1042,1269
1042,330
1186,1407
1186,1408
1186,325
1292,182
1292,1508
1236,1458
1236,632
1262,1482
1262,1483
1301,358
1301,1515
1301,1516
1296,1510
1296,26
1296,1511
1277,632
1199,1422
1199,1423
1199,393
1222,1446
1222,1447
1222,1448
1222,41
1244,229
1274,1486
1274,1487
1274,1144
1274,880
1209,308
1209,466
1209,1435
1330,734
1330,1549
1330,1550
1330,735
1312,739
1312,1526
1178,1399
1178,1400
1178,1401
1319,1532
1319,1533
1319,54
1255,1189
1255,1475
1255,1476
1248,844
1204,6348
1225,1349
1225,709
1239,1460
1239,1461
1239,1462
1238,833
1238,6958
1238,1459
1238,1410
1238,732
1303,1518
1303,1462
1254,1473
1254,1474
1306,1403
1176,1396
1176,1397
1219,947
1219,1155
1184,1405
1184,1406
1194,1417
1194,1418
1307,618
1213,618
1213,1440
1268,709
1268,1474
1257,876
1259,377
1259,1479
1195,1419
1195,1420
1220,378
1220,1444
1243,1185
1243,395
1283,1201
1283,330
1271,1200
1271,1451
1187,732
1187,1409
1187,1410
1256,1371
1256,1185
1256,1477
1197,7072
1177,1398
1203,1430
1203,1431
1203,1432
1247,1103
1311,1525
1272,1451
1272,1171
1232,1451
1232,7072
1191,1171
1191,1414
1207,1171
1207,1356
1207,7072
1289,1503
1289,1504
1260,1480
1260,1064
1260,1481
1253,6958
1253,1472
1326,1541
1231,1196
1231,906
1210,1436
1210,520
1275,1488
1275,21
1275,1066
1275,530
1298,1512
1298,1513
1288,405
1328,1545
1328,1546
1328,418
1218,1442
1218,1443
1308,1521
1308,1522
1308,1507
1295,1509
1261,1370
1279,1492
1279,1151
1279,309
1182,1403
1215,1141
1215,583
1315,1530
1315,1531
1316,1019
1316,330
1325,698
1325,1540
1264,330
1264,1020
1264,1201
1282,1497
1242,1464
1242,3986
1198,1421
1198,1162
1293,1030
1293,54
1190,1412
1190,329
1190,1413
1323,1538
1323,1539
1241,1463
1318,1285
1318,330
1201,1426
1201,1427
1208,1376
1208,1434
1211,1437
1211,1438
1314,293
1314,1529
1196,547
1196,1295
1183,843
1183,1282
1183,1404
1183,844
1227,876
1227,485
1179,291
1179,1302
1214,1080
1214,937
1214,1079
1214,172
1189,1411
1189,1175
1270,1485
1270,7720
1263,976
1263,1253
1217,248
1233,1452
1233,1453
