,id,topics
0,1,"[(1, 0.33473911674327461), (17, 0.20423686085816084)]"
1,10,[]
2,100,[]
3,1000,"[(13, 0.42577135788388915), (14, 0.35923684189952282)]"
4,1001,"[(13, 0.79880979066722391)]"
5,1002,"[(1, 0.44318755364363926), (13, 0.25346198992365832)]"
6,1003,"[(1, 0.29263308950559952)]"
7,1004,"[(1, 0.30112483040326343), (3, 0.36438551333539032), (6, 0.28562837360833526)]"
8,1005,"[(1, 0.38691613258059288), (7, 0.28277241216805321)]"
9,1006,"[(1, 0.40581412007788947)]"
10,1007,"[(13, 0.75330592107207206)]"
11,1008,"[(17, 0.27738527879990688)]"
12,1009,"[(1, 0.50890159097864573), (13, 0.39383135334417618)]"
13,101,"[(1, 0.38215200419421691), (13, 0.22257442008405279)]"
14,1010,"[(3, 0.52644294381294943), (5, 0.2653195371161613)]"
15,1011,"[(13, 0.72082515731969532)]"
16,1012,"[(1, 0.30805509259011643), (6, 0.32224736993182229)]"
17,1013,[]
18,1014,[]
19,1015,"[(0, 0.28811293903724833), (1, 0.50291360524850781), (13, 0.20801354128397437)]"
20,1016,"[(0, 0.73919065383266491)]"
21,1017,[]
22,1018,"[(13, 0.32998985464091413)]"
23,1019,"[(13, 0.69821900771832435)]"
24,102,"[(3, 0.20240645097431284)]"
25,1020,"[(3, 0.84847040643423932)]"
26,1021,"[(1, 0.63140311485180556)]"
27,1022,"[(6, 0.22576788325998717), (9, 0.24037861191777893)]"
28,1023,"[(3, 0.43075251248297602)]"
29,1024,"[(3, 0.5369953389871811), (5, 0.25714150898676569)]"
30,1025,"[(3, 0.33259284479888107), (5, 0.31269559566708904)]"
31,1026,"[(3, 0.48164120578880137), (5, 0.2862986518133887)]"
32,1027,"[(0, 0.68867244503211567)]"
33,1028,"[(6, 0.24645328329797841), (19, 0.53602769076279833)]"
34,1029,"[(13, 0.68777153375219735), (14, 0.23100462247044984)]"
35,103,"[(1, 0.24272118014281116), (13, 0.20712132386501717), (16, 0.28457044041497281)]"
36,1030,"[(1, 0.69191061237021345)]"
37,1031,"[(3, 0.29592119610035955), (13, 0.21525810272709858)]"
38,1032,"[(3, 0.33976259484902832), (5, 0.52035339216775089)]"
39,1033,"[(6, 0.27282600505116672), (16, 0.33251594799127726)]"
40,1034,"[(13, 0.52374279350398478)]"
41,1035,"[(3, 0.95187361176579666)]"
42,1036,"[(13, 0.40154337083230363), (14, 0.45875967875099588)]"
43,1037,[]
44,1038,"[(16, 0.27028075538253671)]"
45,1039,"[(0, 0.6221862331188982), (3, 0.27827317851124617)]"
46,104,"[(1, 0.6203910162914984), (13, 0.21595769232990342)]"
47,1040,"[(6, 0.21897235407821755), (14, 0.37625743888113627)]"
48,1041,"[(7, 0.37529714174908307)]"
49,1042,"[(13, 0.6669720832545275)]"
50,1043,"[(3, 0.35109453136707136)]"
51,1044,"[(6, 0.3563085394326751), (13, 0.63901461736109144)]"
52,1045,"[(7, 0.31753751015940074), (9, 0.44285511971756231)]"
53,1046,"[(3, 0.32275047969980497), (5, 0.27294107252796285), (7, 0.20178231199348842)]"
54,1047,"[(1, 0.68187019468511134)]"
55,1048,"[(13, 0.45310786165891442), (14, 0.48540769021618874)]"
56,1049,"[(13, 0.2779284924843114)]"
57,105,"[(1, 0.53640349350795857), (13, 0.46215080798630342)]"
58,1050,"[(13, 0.46267866557433968)]"
59,1051,"[(1, 0.21711135608204785), (6, 0.22336212924920343), (19, 0.5134769396836476)]"
60,1052,"[(6, 0.24374612966915143)]"
61,1053,[]
62,1054,"[(13, 0.38522136602758794)]"
63,1055,"[(1, 0.37307044689796459)]"
64,1056,"[(0, 0.27892711694224198), (1, 0.43197722508867004), (13, 0.23956592486090744)]"
65,1057,"[(3, 0.41763149524959226)]"
66,1058,"[(13, 0.51478710116800974)]"
67,1059,"[(6, 0.26081789392340654), (13, 0.47744157794972103)]"
68,106,"[(13, 0.79004465161967363)]"
69,1060,"[(6, 0.26159696948878375), (13, 0.51489393522218496)]"
70,1061,"[(6, 0.23419370375884763), (19, 0.24252365851489088)]"
71,1062,"[(1, 0.27938881864236598), (13, 0.29341562382523845)]"
72,1063,"[(13, 0.20914302798089046), (16, 0.3264157418371062)]"
73,1064,"[(6, 0.67479179778241072), (19, 0.31352584538255013)]"
74,1065,"[(6, 0.24087634592053186), (18, 0.3733560447322295)]"
75,1066,"[(6, 0.64431808264976986)]"
76,1067,"[(1, 0.81213348585114531)]"
77,1068,"[(5, 0.42870485095395555), (9, 0.21941589995357805)]"
78,1069,"[(3, 0.76803381640512625)]"
79,107,"[(1, 0.74382267744470243)]"
80,1070,"[(6, 0.24081340906768553), (13, 0.24627554346224892), (19, 0.47300645945273845)]"
81,1071,"[(3, 0.89832238550153265)]"
82,1072,"[(6, 0.234275804504496), (13, 0.48059410044770584)]"
83,1073,"[(13, 0.3293409029175865)]"
84,1074,"[(1, 0.64141969493736883)]"
85,1075,"[(6, 0.26610908472048084), (13, 0.67528234747801452)]"
86,1076,"[(6, 0.5102611885365872)]"
